name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,snapshot_date
Corsair Dominator Platinum RGB 32 GB,149.99,"4, 4000","2, 16",4.687,Black,9.0,18.0,2023-08-06
G.Skill Trident Z5 RGB 32 GB,194.0,"5, 5200","2, 16",6.062,White / Black,15.385,40.0,2023-08-06
Kingston Server Premier 16 GB,113.77,"4, 3200","1, 16",7.111,,13.75,22.0,2023-08-06
Kingston FURY Renegade 16 GB,106.8,"5, 6800","1, 16",6.675,White / Silver,10.588,36.0,2023-08-06
Kingston KVR1333D3K2/2GR 2 GB,29.85,"3, 1333","2, 1",14.925,Green,13.503,9.0,2023-08-06
Kingston ValueRAM 16 GB,61.7,"4, 2400","1, 16",3.856,Black / Green,14.167,17.0,2023-08-06
Corsair Vengeance RGB Pro 32 GB,210.57,"4, 2666","4, 8",6.58,Black,12.003,16.0,2023-08-06
Crucial Ballistix Sport AT 16 GB,89.99,"4, 2666","1, 16",5.624,Silver / Black,12.003,16.0,2023-08-06
Crucial Ballistix RGB 16 GB,78.98,"4, 3200","2, 8",4.936,Red,10.0,16.0,2023-08-06
Kingston FURY Beast 16 GB,44.77,"4, 2666","1, 16",2.798,Black,12.003,16.0,2023-08-06
PNY XLR8 16 GB,59.99,"4, 3600","1, 16",3.749,Black,10.0,18.0,2023-08-06
ADATA XPG SPECTRIX D50 32 GB,123.89,"4, 3600","1, 32",3.872,Black,10.0,18.0,2023-08-06
Timetec PINNACLE Konduit RGB 8 GB,26.99,"4, 3200","1, 8",3.374,White,10.0,16.0,2023-08-06
Corsair Vengeance LPX 8 GB,37.32,"4, 2400","1, 8",4.665,Red,12.5,15.0,2023-08-06
G.Skill Ripjaws 32 GB,89.44,"4, 2400","4, 8",2.795,Red,12.5,15.0,2023-08-06
G.Skill Aegis 8 GB,77.0,"3, 1600","1, 8",9.625,,13.75,11.0,2023-08-06
GeIL ORION V RGB 32 GB,143.99,"5, 7200","2, 16",4.5,Black,10.0,36.0,2023-08-06
G.Skill Trident Z Royal 16 GB,159.99,"4, 3600","2, 8",9.999,Silver,7.778,14.0,2023-08-06
TEAMGROUP T-Force Zeus 32 GB,49.99,"4, 3200","1, 32",1.562,Red / Black,10.0,16.0,2023-08-06
TEAMGROUP T-Create Expert 32 GB,89.99,"5, 6400","2, 16",2.8120000000000003,White,12.5,40.0,2023-08-06
G.Skill Trident Z Neo 16 GB,142.98,"4, 4000","2, 8",8.936,Black / White,8.0,16.0,2023-08-06
G.Skill Trident Z Neo 16 GB,281.0,"4, 3600","2, 8",17.562,Black / White,7.778,14.0,2023-08-06
G.Skill Trident Z Royal 16 GB,97.67,"4, 3600","2, 8",6.104,Gold,10.0,18.0,2023-08-06
Kingston Server Premier 16 GB,53.31,"4, 2666","1, 16",3.332,,14.254,19.0,2023-08-06
G.Skill Ares 16 GB,79.7,"3, 2133","2, 8",4.981,Black / Blue,9.376,10.0,2023-08-06
G.Skill Trident Z Royal 32 GB,309.53,"4, 4266","2, 16",9.673,Black,7.97,17.0,2023-08-06
Kingston KVR21R15S4K4/32 32 GB,449.85,"4, 2133","4, 8",14.058,Black / Green,14.065,15.0,2023-08-06
Kingston Server Premier 16 GB,52.25,"4, 3200","1, 16",3.266,,13.75,22.0,2023-08-06
Samsung M391A2K43BB1-CPB 16 GB,50.98,"4, 2133","1, 16",3.186,Black / Green,14.065,15.0,2023-08-06
Samsung M391A2K43BB1-CRC 16 GB,91.99,"4, 2400","1, 16",5.749,Green,14.167,17.0,2023-08-06
G.Skill Sniper X 32 GB,216.81,"4, 3200","4, 8",6.775,Black / Camo,10.0,16.0,2023-08-06
G.Skill Trident Z 32 GB,99.99,"5, 5600","2, 16",3.125,Black,12.857,36.0,2023-08-06
G.Skill Ripjaws X 8 GB,47.8,"3, 2133","2, 4",5.975,Black / Blue,8.439,9.0,2023-08-06
Crucial CT2K16G4DFD8213 32 GB,109.99,"4, 2133","2, 16",3.437,Black / Green,14.065,15.0,2023-08-06
Crucial CT32G4RFD4213 32 GB,63.99,"4, 2133","1, 32",2.0,Green / Black,14.065,15.0,2023-08-06
GeIL Orion RGB AMD Edition 32 GB,89.99,"4, 3600","2, 16",2.8120000000000003,Red,10.0,18.0,2023-08-06
G.Skill Trident Z RGB 64 GB,473.73,"4, 4000","8, 8",7.402,,9.0,18.0,2023-08-06
Corsair Vengeance LP 8 GB,39.99,"3, 1600","1, 8",4.999,Black / Yellow,12.5,10.0,2023-08-06
Kingston KVR13N9S8/4 4 GB,28.3,"3, 1333","1, 4",7.075,Green,13.503,9.0,2023-08-06
Kingston Server Premier 32 GB,109.99,"4, 3200","1, 32",3.437,,13.75,22.0,2023-08-06
Timetec 75TT21NU 8 GB,30.99,"4, 2133","2, 4",3.874,Black,14.065,15.0,2023-08-06
G.Skill Flare X5 48 GB,124.99,"5, 5600","2, 24",2.604,Black,14.286,40.0,2023-08-06
G.Skill Trident Z RGB 16 GB,151.48,"4, 4000","2, 8",9.467,Black,7.5,15.0,2023-08-06
Mushkin Essentials 32 GB,56.76,"4, 2400","2, 16",1.774,Silver / Green,14.167,17.0,2023-08-06
G.Skill Trident Z RGB 32 GB,97.66,"4, 2400","2, 16",3.052,Black,12.5,15.0,2023-08-06
G.Skill Trident Z Royal 64 GB,169.99,"4, 3600","2, 32",2.656,Gold,10.0,18.0,2023-08-06
G.Skill F4-3600C17D-32GTZSW 32 GB,145.37,"4, 3600","2, 16",4.543,Gray / White,9.444,17.0,2023-08-06
G.Skill Trident Z RGB 32 GB,379.0,"4, 3600","4, 8",11.844,Black,9.444,17.0,2023-08-06
Crucial CT16G4WFD824A 16 GB,99.44,"4, 2400","1, 16",6.215,Green,14.167,17.0,2023-08-06
Corsair Vengeance LPX 16 GB,106.78,"4, 3600","2, 8",6.674,Black / Yellow,11.111,20.0,2023-08-06
Kingston FURY Beast RGB 16 GB,72.66,"5, 5600","1, 16",4.541,Black,14.286,40.0,2023-08-06
Corsair Vengeance RGB Pro SL 16 GB,99.99,"4, 4000","2, 8",6.249,Black,9.0,18.0,2023-08-06
Mushkin Redline 32 GB,87.99,"5, 5600","2, 16",2.75,Black,12.857,36.0,2023-08-06
Crucial CT2K16G4DFRA266 32 GB,93.99,"4, 2666","2, 16",2.9370000000000003,Green,14.254,19.0,2023-08-06
Mushkin Essentials 16 GB,36.99,"3, 1333","2, 8",2.312,Green,13.503,9.0,2023-08-06
Mushkin Proline 8 GB,25.71,"3, 1866","1, 8",3.214,Green,13.934,13.0,2023-08-06
Kingston FURY Renegade 8 GB,30.73,"4, 2666","1, 8",3.841,Black,9.752,13.0,2023-08-06
G.Skill Ripjaws X 4 GB,23.78,"3, 1600","1, 4",5.945,,11.25,9.0,2023-08-06
G.Skill NT 8 GB,43.76,"4, 2133","2, 4",5.47,Black,14.065,15.0,2023-08-06
G.Skill NT 8 GB,59.0,"4, 2400","2, 4",7.375,Black,12.5,15.0,2023-08-06
G.Skill Trident Z RGB 32 GB,316.34,"4, 4000","4, 8",9.886,Black,7.5,15.0,2023-08-06
G.Skill Sniper 16 GB,35.99,"3, 1600","2, 8",2.249,Black / Red,12.5,10.0,2023-08-06
Mushkin Redline Lumina 32 GB,69.99,"4, 3200","2, 16",2.187,Black / Silver,10.0,16.0,2023-08-06
Crucial CT8G4SFS824A 8 GB,17.98,"4, 2400","1, 8",2.248,Green / Black,14.167,17.0,2023-08-06
G.Skill Trident Z Neo 32 GB,340.86,"4, 3200","4, 8",10.652,Black / Silver,8.75,14.0,2023-08-06
Addlink Spider X4 16 GB,46.99,"4, 3200","2, 8",2.9370000000000003,Black,10.0,16.0,2023-08-06
Kingston ValueRAM 16 GB,70.8,"5, 4800","2, 8",4.425,,16.667,40.0,2023-08-06
G.Skill Ripjaws S5 64 GB,174.99,"5, 5600","2, 32",2.734,White,12.857,36.0,2023-08-06
G.Skill Ripjaws X 32 GB,217.0,"3, 2400","4, 8",6.781,,9.167,11.0,2023-08-06
G.Skill Trident Z RGB 32 GB,399.95,"4, 3000","4, 8",12.498,Black,10.0,15.0,2023-08-06
Thermaltake TOUGHRAM RGB 16 GB,129.99,"4, 3200","2, 8",8.124,White / Silver,10.0,16.0,2023-08-06
Kingston FURY Beast 64 GB,145.4,"4, 2666","2, 32",2.272,Black,12.003,16.0,2023-08-06
Patriot Viper 3 32 GB,189.66,"3, 1600","4, 8",5.927,Black / Silver,12.5,10.0,2023-08-06
G.Skill Ripjaws V 8 GB,49.0,"4, 2800","1, 8",6.125,Red,10.714,15.0,2023-08-06
G.Skill Sniper X 16 GB,204.32,"4, 3400","2, 8",12.77,Camo / Black,9.412,16.0,2023-08-06
Samsung m378b5673eh1-cf8 2 GB,21.8,"3, 1066","1, 2",10.9,Green / Black,13.133,7.0,2023-08-06
Corsair Vengeance RGB RT 256 GB,714.99,"4, 3200","8, 32",2.793,Black,10.0,16.0,2023-08-06
G.Skill Trident Z RGB 64 GB,244.86,"4, 2400","8, 8",3.826,,12.5,15.0,2023-08-06
Patriot Viper Elite 4 GB,25.6,"4, 2666","1, 4",6.4,Black / Silver,12.003,16.0,2023-08-06
Kingston ValueRAM 4 GB,75.0,"2, 667","2, 2",18.75,Green,14.993,5.0,2023-08-06
G.Skill Ripjaws 8 GB,27.86,"3, 1066","2, 4",3.482,Black / Red,13.133,7.0,2023-08-06
Mushkin Redline 32 GB,69.98,"4, 3200","2, 16",2.187,,10.0,16.0,2023-08-06
Mushkin Redline Lumina 32 GB,69.99,"4, 3600","2, 16",2.187,Black,10.0,18.0,2023-08-06
G.Skill Ripjaws 16 GB,37.99,"4, 2400","2, 8",2.374,Black,13.333,16.0,2023-08-06
Crucial CT2K8G4DFS832A 16 GB,75.2,"4, 3200","2, 8",4.7,Green / Black,13.75,22.0,2023-08-06
OLOy Blade RGB 32 GB,142.99,"5, 7200","2, 16",4.468,Black,10.0,36.0,2023-08-06
Thermaltake TOUGHRAM RGB 16 GB,159.99,"4, 4000","2, 8",9.999,Black / Silver,9.5,19.0,2023-08-06
Corsair Vengeance RGB RT 64 GB,183.51,"4, 3200","4, 16",2.867,Black,10.0,16.0,2023-08-06
Mushkin Enhanced Redline 64 GB,189.99,"5, 5600","2, 32",2.969,Black,12.857,36.0,2023-08-06
Corsair Vengeance LPX 8 GB,34.99,"4, 2666","2, 4",4.374,Red,11.253,15.0,2023-08-06
G.Skill Ripjaws V 32 GB,85.19,"4, 2666","4, 8",2.662,Red / Black,14.254,19.0,2023-08-06
Crucial CT2K32G4SFD8266 64 GB,160.99,"4, 2666","2, 32",2.515,Green / Black,14.254,19.0,2023-08-06
G.Skill Ripjaws V 32 GB,72.05,"4, 2666","2, 16",2.252,Red,14.254,19.0,2023-08-06
Neo Forza MARS 16 GB,49.99,"4, 3600","2, 8",3.124,Gray / Black,10.0,18.0,2023-08-06
Kingston Fury Renegade RGB 64 GB,197.99,"4, 3200","4, 16",3.094,Black / Silver,10.0,16.0,2023-08-06
G.Skill Ripjaws X 8 GB,53.17,"3, 2400","2, 4",6.646,,9.167,11.0,2023-08-06
G.Skill Trident Z 32 GB,99.0,"4, 3000","2, 16",3.094,Red / Silver,10.0,15.0,2023-08-06
G.Skill Ripjaws V 16 GB,169.94,"4, 2666","2, 8",10.621,Blue,11.253,15.0,2023-08-06
G.Skill Trident Z RGB 16 GB,142.84,"4, 4133","2, 8",8.928,Black,9.194,19.0,2023-08-06
Samsung M471A4G43MB1 32 GB,99.98,"4, 2666","1, 32",3.124,Green / Black,14.254,19.0,2023-08-06
Kingston Server Premier 16 GB,52.0,"4, 3200","1, 16",3.25,,13.75,22.0,2023-08-06
Patriot Viper RGB 32 GB,92.65,"4, 3200","2, 16",2.895,Black,10.0,16.0,2023-08-06
Kingston Fury Renegade RGB 16 GB,168.14,"5, 6800","1, 16",10.509,Silver / Black,10.588,36.0,2023-08-06
Kingston ValueRAM 1 GB,13.15,"3, 1333","1, 1",13.15,Green,13.503,9.0,2023-08-06
G.Skill Ares 8 GB,99.99,"3, 1600","2, 4",12.499,Black / Blue,11.25,9.0,2023-08-06
Kingston KVR18L13Q4/32 32 GB,89.98,"3, 1866","1, 32",2.8120000000000003,Gray,13.934,13.0,2023-08-06
G.Skill Ripjaws V 16 GB,132.32,"4, 2800","2, 8",8.27,Black,11.429,16.0,2023-08-06
Neo Forza FAYE 32 GB,64.99,"4, 3600","2, 16",2.031,Silver / Black,10.0,18.0,2023-08-06
G.Skill Trident Z Royal 128 GB,349.99,"4, 3600","4, 32",2.734,Gold,10.0,18.0,2023-08-06
G.Skill Ripjaws V 16 GB,121.66,"4, 3600","2, 8",7.604,Black,9.444,17.0,2023-08-06
G.Skill Value 4 GB,12.96,"3, 1600","1, 4",3.24,Green,13.75,11.0,2023-08-06
Kingston Fury Renegade RGB 32 GB,119.99,"4, 3200","4, 8",3.75,Black / Silver,10.0,16.0,2023-08-06
TEAMGROUP T-Force Dark Z 32 GB,244.0,"4, 3200","2, 16",7.625,Gray,10.0,16.0,2023-08-06
Thermaltake TOUGHRAM XG RGB 32 GB,299.99,"4, 3600","2, 16",9.375,White / Silver,10.0,18.0,2023-08-06
Timetec PINNACLE Konduit RGB 16 GB,52.99,"4, 3200","2, 8",3.312,White,10.0,16.0,2023-08-06
Crucial CT2KIT25664AA667 4 GB,39.99,"2, 667","2, 2",9.998,Green,14.993,5.0,2023-08-06
Crucial CT64G4YFQ426S 64 GB,649.95,"4, 2666","1, 64",10.155,Green / Black,14.254,19.0,2023-08-06
