name,price,capacity,price_per_gb,type,cache,form_factor,interface,snapshot_date
Seagate SkyHawk AI,269.99,12000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Hitachi HDN724040ALE640,115.01,4000.0,0.029,7200,,3.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Gold,187.35,8000.0,0.023,7200,128.0,3.5,SATA 6.0 Gb/s,2023-08-06
Netac NV7000-t,125.99,2000.0,0.063,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Seagate Exos 7E8 512e,232.23,8000.0,0.029,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Addlink S70,42.88,1000.0,0.043,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Western Digital SE,149.49,3000.0,0.05,7200,64.0,3.5,SATA 6.0 Gb/s,2023-08-06
Seagate ST6000DX000,175.99,6000.0,0.029,7200,128.0,3.5,SATA 6.0 Gb/s,2023-08-06
Transcend 250H,289.99,4000.0,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
TEAMGROUP T-Create Classic,56.99,1000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Western Digital SN530,28.0,256.0,0.109,SSD,,M.2-2230,M.2 PCIe 3.0 X4,2023-08-06
Mushkin ELEMENT,40.99,1000.0,0.041,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
HP S700 Pro,34.99,256.0,0.137,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Samsung PM883,66.77,480.0,0.139,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Toshiba S300 Pro,224.99,10000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Seagate EXOS Enterprise,164.59,4000.0,0.041,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Verbatim Vi560,44.16,512.0,0.086,SSD,,M.2-2280,M.2 SATA,2023-08-06
Western Digital Caviar Blue,54.95,250.0,0.22,7200,8.0,3.5,SATA 3.0 Gb/s,2023-08-06
Western Digital Caviar Green,138.63,750.0,0.185,5400,16.0,3.5,SATA 3.0 Gb/s,2023-08-06
Seagate 1200 SSD,225.0,200.0,1.125,SSD,,2.5,SAS 12.0 Gb/s,2023-08-06
Seagate IronWolf Pro,240.12,8000.0,0.03,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Addlink S91,79.88,1000.0,0.08,SSD,,M.2-2230,M.2 PCIe 4.0 X4,2023-08-06
Intel D3-S4520,171.0,1920.0,0.089,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Hitachi 0B36040,92.56,4000.0,0.023,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Hitachi Travelstar,106.0,1000.0,0.106,7200,32.0,2.5,SATA 6.0 Gb/s,2023-08-06
Patriot Viper VP4300 Lite,84.99,2000.0,0.042,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Toshiba X300 Pro,132.99,6000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Toshiba N300,239.0,14000.0,0.017,7200,512.0,3.5,SATA 6.0 Gb/s,2023-08-06
Seagate SkyHawk,182.44,6000.0,0.03,5900,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
TEAMGROUP MP44S,195.99,2000.0,0.098,SSD,,M.2-2230,M.2 PCIe 4.0 X4,2023-08-06
VisionTek DLX3,89.99,1000.0,0.09,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Netac NV5000-t,64.98,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
HP S700 Pro,77.3,512.0,0.151,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Netac NV7000,312.99,4000.0,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Verbatim Vi3000,134.46,2000.0,0.067,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Kingston KC600,53.2,512.0,0.104,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Western Digital SN520,199.88,512.0,0.39,SSD,,M.2-2280,M.2 PCIe 3.0 X2,2023-08-06
Pioneer APS-SE20G-256,61.13,256.0,0.239,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Kingston UV500B,738.0,1920.0,0.384,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Purple,200.5,8000.0,0.025,5400,128.0,3.5,SATA 6.0 Gb/s,2023-08-06
Intel DC S3710,214.45,200.0,1.072,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Toshiba MG03ACA,87.99,2000.0,0.044,7200,64.0,3.5,SATA 6.0 Gb/s,2023-08-06
Toshiba PH3300U-1I72,159.0,3000.0,0.053,7200,64.0,3.5,SATA 6.0 Gb/s,2023-08-06
Seagate BarraCuda,126.73,1500.0,0.084,7200,64.0,3.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Caviar Green,149.94,3000.0,0.05,5400,64.0,3.5,SATA 3.0 Gb/s,2023-08-06
Seagate Momentus 5400.6,25.0,320.0,0.078,5400,8.0,2.5,SATA 3.0 Gb/s,2023-08-06
Hitachi 0J11563,36.99,750.0,0.049,5400,8.0,2.5,SATA 3.0 Gb/s,2023-08-06
Seagate Constellation ES,69.98,1000.0,0.07,7200,32.0,3.5,SATA 3.0 Gb/s,2023-08-06
Western Digital Scorpio Blue,41.0,750.0,0.055,5400,8.0,2.5,SATA 3.0 Gb/s,2023-08-06
Toshiba S300,89.99,1000.0,0.09,5700,64.0,3.5,SATA 6.0 Gb/s,2023-08-06
Western Digital AV-GP,29.99,500.0,0.06,5400,8.0,3.5,SATA 3.0 Gb/s,2023-08-06
Western Digital easystore,32.48,480.0,0.068,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Western Digital WD Blue,75.8,250.0,0.303,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
KIOXIA EXCERIA,112.99,960.0,0.118,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Toshiba P300,58.37,2000.0,0.029,5400,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Silicon Power Slim S55,18.21,240.0,0.076,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Black SN750 Rev2,198.33,2000.0,0.099,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Seagate IronWolf NAS,233.99,10000.0,0.023,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
TEAMGROUP MP44L,28.99,250.0,0.116,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Addlink S91,179.99,2000.0,0.09,SSD,,M.2-2230,M.2 PCIe 4.0 X4,2023-08-06
Intenso High Performance,42.44,480.0,0.088,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Lexar NM500,49.74,256.0,0.194,SSD,,M.2-2280,M.2 PCIe 3.0 X2,2023-08-06
Seagate BarraCuda,89.99,1000.0,0.09,7200,64.0,3.5,SATA 3.0 Gb/s,2023-08-06
Western Digital Caviar Green,20.87,500.0,0.042,5400,32.0,3.5,SATA 3.0 Gb/s,2023-08-06
Western Digital Purple Pro,285.99,14000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Purple Surveillance,82.99,3000.0,0.028,5400,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
HP FX900 Pro,114.99,2000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Inland Gaming Performance Plus,134.99,2000.0,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Seagate Exos 7E8,145.0,2000.0,0.072,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Seagate Momentus,70.99,1000.0,0.071,5400,8.0,2.5,SATA 6.0 Gb/s,2023-08-06
Intel DC S3700,99.0,100.0,0.99,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Samsung Spinpoint F1 DT,99.99,1000.0,0.1,7200,32.0,3.5,SATA 3.0 Gb/s,2023-08-06
TEAMGROUP CX1,15.99,240.0,0.067,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Hitachi Deskstar 7K2000,51.0,2000.0,0.025,7200,32.0,3.5,SATA 3.0 Gb/s,2023-08-06
HP EX900 Plus,44.99,1000.0,0.045,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Corsair CSSD-F4000GBMP600PHX,409.99,4000.0,0.102,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Western Digital RE,88.36,3000.0,0.029,7200,64.0,3.5,SATA 6.0 Gb/s,2023-08-06
TEAMGROUP QX,37.99,1000.0,0.038,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Purple Pro,229.16,10000.0,0.023,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Seagate SkyHawk AI,205.58,8000.0,0.026,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Blue,69.99,3000.0,0.023,5400,32.0,3.5,SATA 3.0 Gb/s,2023-08-06
Toshiba N300,306.99,14000.0,0.022,7200,,3.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Caviar Green,80.98,1000.0,0.081,5400,32.0,3.5,SATA 3.0 Gb/s,2023-08-06
Inland Prime,29.99,250.0,0.12,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Pioneer APS-SE20G-1T,175.68,1000.0,0.176,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
OCZ TRION 150,738.0,960.0,0.769,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Seagate Momentus 5400.6,20.98,250.0,0.084,5400,8.0,2.5,SATA 3.0 Gb/s,2023-08-06
Western Digital RE4,36.49,500.0,0.073,7200,64.0,3.5,SATA 3.0 Gb/s,2023-08-06
Mushkin Tempest,28.99,512.0,0.057,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Seagate Exos X18,240.0,10000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Intenso 3812440,45.0,256.0,0.176,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
SanDisk X400,279.99,512.0,0.547,SSD,,M.2-2280,M.2 SATA,2023-08-06
Crucial M500,495.0,960.0,0.516,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Crucial M4,99.99,256.0,0.391,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Mushkin Tempest,20.81,256.0,0.081,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Inland Platinum,20.99,256.0,0.082,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Addlink S90 Lite,49.44,1000.0,0.049,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Patriot P400,32.99,512.0,0.064,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Mushkin ELEMENT,37.99,1000.0,0.038,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Transcend 250S,129.99,2000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Inland Prime,102.99,2000.0,0.051,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Toshiba N300 Pro,204.99,10000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s,2023-08-06
Western Digital BLACK SN850 Call of Duty Edition,199.0,1000.0,0.199,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Addlink S20,40.99,1000.0,0.041,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Seagate IronWolf NAS,318.99,14000.0,0.023,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Toshiba N300,195.99,12000.0,0.016,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Klevv CRAS C710,53.6,256.0,0.209,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Crucial MX200,397.77,500.0,0.796,SSD,,M.2-2260,M.2 SATA,2023-08-06
Seagate SV35.5,45.0,500.0,0.09,5900,16.0,3.5,SATA 3.0 Gb/s,2023-08-06
Seagate BarraCuda,29.99,320.0,0.094,7200,16.0,3.5,SATA 3.0 Gb/s,2023-08-06
Seagate FireCuda 120,510.0,2000.0,0.255,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Caviar Blue,39.99,320.0,0.125,7200,16.0,3.5,SATA 6.0 Gb/s,2023-08-06
Seagate BarraCuda,79.79,1000.0,0.08,7200,32.0,3.5,SATA 3.0 Gb/s,2023-08-06
Western Digital Blue Mobile,24.99,500.0,0.05,5400,16.0,2.5,SATA 6.0 Gb/s,2023-08-06
Seagate Enterprise Capacity,190.0,10000.0,0.019,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Seagate IronWolf 525,329.0,2000.0,0.164,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Intel 730,587.09,480.0,1.223,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Western Digital VelociRaptor,99.99,150.0,0.667,10000,16.0,3.5,SATA 3.0 Gb/s,2023-08-06
Seagate Barracuda ES,49.99,750.0,0.067,7200,16.0,3.5,SATA 6.0 Gb/s,2023-08-06
Seagate EXOS Enterprise,127.49,4000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Hitachi 0F14683,83.9,4000.0,0.021,7200,64.0,3.5,SATA 6.0 Gb/s,2023-08-06
Intenso High Performance,51.32,960.0,0.053,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Inland Platinum,79.98,2000.0,0.04,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Acer FA100,69.98,2000.0,0.035,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Toshiba MG07ACA14TE,219.0,14000.0,0.016,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Micron 2400,81.95,1000.0,0.082,SSD,,M.2-2230,M.2 PCIe 4.0 X4,2023-08-06
Seagate Archive,213.99,8000.0,0.027,5900,128.0,3.5,SATA 6.0 Gb/s,2023-08-06
Seagate BarraCuda Pro,355.0,12000.0,0.03,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Samsung PM961,109.0,512.0,0.213,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
PNY CS2130,44.9,500.0,0.09,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Seagate Barracuda Green,88.0,2000.0,0.044,5900,64.0,3.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Caviar Black,170.99,4000.0,0.043,7200,128.0,3.5,SATA 6.0 Gb/s,2023-08-06
Seagate Constellation ES.3,146.99,4000.0,0.037,7200,128.0,3.5,SATA 6.0 Gb/s,2023-08-06
PNY CS2130,99.99,1000.0,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
KIOXIA EXCERIA PRO,316.0,2000.0,0.158,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Seagate BarraCuda Pro,228.99,10000.0,0.023,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Toshiba MG07ACA12TE,214.95,12000.0,0.018,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
