name,price,capacity,price_per_gb,type,cache,form_factor,interface,snapshot_date
TEAMGROUP T-Create Classic,43.99,1000.0,0.044,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Silicon Power A55,17.97,256.0,0.07,SSD,,M.2-2280,M.2 SATA,2023-09-12
TEAMGROUP T-Create Classic DL,49.99,1000.0,0.05,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-09-12
Toshiba MG07ACA14TE,214.0,14000.0,0.015,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
ADATA XPG SX8100,69.98,512.0,0.137,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Western Digital Green,50.0,240.0,0.208,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Kingston HyperX 3K,99.99,120.0,0.833,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Acer FA100,19.98,256.0,0.078,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Transcend 110S,54.19,1000.0,0.054,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Western Digital Red,68.98,2000.0,0.034,5400,64.0,3.5,SATA 6.0 Gb/s,2023-09-12
Western Digital Black,339.15,4000.0,0.085,7200,64.0,3.5,SATA 6.0 Gb/s,2023-09-12
HP EX900 Plus,29.99,512.0,0.059,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
PNY XLR8 CS3030,139.99,2000.0,0.07,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Western Digital Caviar Green,83.68,2000.0,0.042,5400,64.0,3.5,SATA 6.0 Gb/s,2023-09-12
KingSpec XF-2280,31.99,512.0,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-09-12
Western Digital Blue,79.95,500.0,0.16,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Hitachi 0F14683,84.0,4000.0,0.021,7200,64.0,3.5,SATA 6.0 Gb/s,2023-09-12
Seagate Barracuda LP,118.77,2000.0,0.059,5900,32.0,3.5,SATA 3.0 Gb/s,2023-09-12
Lexar NM610,36.99,250.0,0.148,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Sabrent Rocket Q4,199.99,2000.0,0.1,SSD,,M.2-2230,M.2 PCIe 4.0 X4,2023-09-12
Toshiba N300 Pro,289.99,16000.0,0.018,7200,512.0,3.5,SATA 6.0 Gb/s,2023-09-12
Western Digital Black,44.33,750.0,0.059,7200,16.0,2.5,SATA 6.0 Gb/s,2023-09-12
Crucial M500,495.0,960.0,0.516,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Western Digital RE4,36.5,500.0,0.073,7200,64.0,3.5,SATA 3.0 Gb/s,2023-09-12
PNY CS2140,44.93,500.0,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-09-12
Toshiba N300 Pro,181.99,8000.0,0.023,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Intel DC S3610,889.99,1600.0,0.556,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Western Digital Red Pro,249.99,10000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Western Digital Gold,249.75,10000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Western Digital Red Pro,265.98,6000.0,0.044,7200,128.0,3.5,SATA 6.0 Gb/s,2023-09-12
Intel DC P3600,489.74,400.0,1.224,SSD,,PCIe,PCIe x4,2023-09-12
Seagate ST320LM010,18.59,320.0,0.058,7200,32.0,2.5,SATA 6.0 Gb/s,2023-09-12
Western Digital Ultrastar,230.99,8000.0,0.029,7200,,3.5,SATA 6.0 Gb/s,2023-09-12
Western Digital Blue,69.99,3000.0,0.023,5400,32.0,3.5,SATA 3.0 Gb/s,2023-09-12
Samsung PM893,72.8,480.0,0.152,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Nextorage G-Series,65.99,1000.0,0.066,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-09-12
Western Digital Blue SA510,29.99,250.0,0.12,SSD,,M.2-2280,M.2 SATA,2023-09-12
Seagate EXOS Enterprise,134.97,6000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Addlink S91,256.99,2000.0,0.128,SSD,,M.2-2230,M.2 PCIe 4.0 X4,2023-09-12
Western Digital Ultrastar DC HC550,259.0,16000.0,0.016,7200,512.0,3.5,SAS 12.0 Gb/s,2023-09-12
Intel D3-S4610,557.49,3800.0,0.147,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Klevv CRAS C710,54.0,256.0,0.211,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Inland Premium,39.99,256.0,0.156,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Kingston UV500,901.77,1920.0,0.47,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Toshiba MQ04ABD200,74.87,2000.0,0.037,5400,128.0,2.5,SATA 6.0 Gb/s,2023-09-12
Patriot Burst,41.49,120.0,0.346,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Toshiba P300,178.98,3000.0,0.06,7200,64.0,3.5,SATA 6.0 Gb/s,2023-09-12
Transcend MTS600,76.86,128.0,0.6000000000000001,SSD,,M.2-2260,M.2 SATA,2023-09-12
Kingston SSDNow KC300,50.0,60.0,0.833,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Intel 520,139.0,240.0,0.579,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Seagate Enterprise Capacity,210.0,10000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Intel 760p,463.93,2000.0,0.232,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Western Digital Caviar Blue,129.19,1000.0,0.129,7200,32.0,3.5,SATA 3.0 Gb/s,2023-09-12
Hitachi Ultrastar 7K4000,498.0,2000.0,0.249,7200,64.0,3.5,SATA 6.0 Gb/s,2023-09-12
Western Digital VelociRaptor,206.17,600.0,0.344,10000,32.0,3.5,SATA 6.0 Gb/s,2023-09-12
Inland TN320,21.99,256.0,0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Toshiba L200,46.56,1000.0,0.047,5400,128.0,2.5,SATA 6.0 Gb/s,2023-09-12
KingSpec NX-2280,19.98,256.0,0.078,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Seagate Exos 7E8,178.39,4000.0,0.045,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Seagate ST500VM000,23.99,500.0,0.048,5900,64.0,3.5,SATA 6.0 Gb/s,2023-09-12
Western Digital Purple,212.0,8000.0,0.026,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
HP EX950,115.99,1000.0,0.116,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Western Digital Purple,49.99,1000.0,0.05,5400,64.0,3.5,SATA 6.0 Gb/s,2023-09-12
Western Digital Red,419.0,10000.0,0.042,5400,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Intel 320,375.0,600.0,0.625,SSD,,2.5,SATA 3.0 Gb/s,2023-09-12
Seagate Exos 7E10 512n,121.44,2000.0,0.061,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Western Digital Red,49.99,250.0,0.2,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Transcend TS240GSSD220S,25.08,240.0,0.104,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Seagate SV35.5,45.0,500.0,0.09,5900,16.0,3.5,SATA 3.0 Gb/s,2023-09-12
Lexar Professional NM800PRO w/Heatsink,54.88,512.0,0.107,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-09-12
TEAMGROUP T-Force Cardea Ceramic C440,384.99,1000.0,0.385,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-09-12
Intel SSDMCEAW120A401,41.93,120.0,0.349,SSD,,mSATA,mSATA,2023-09-12
Timetec 30TTQNS3SATA-1TB,34.99,1000.0,0.035,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Seagate SkyHawk Surveillance,201.61,8000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Toshiba MG08ADA800E,188.99,8000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Seagate SkyHawk Surveillance,142.99,6000.0,0.024,5400,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Transcend 250H,324.99,4000.0,0.081,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-09-12
Western Digital Blue SN550,249.99,2000.0,0.125,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Seagate SkyHawk Surveillance,84.99,3000.0,0.028,5900,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Micron 1100,199.99,1000.0,0.2,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Transcend TS256GSSD230S,29.58,256.0,0.116,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Intel 540s,99.0,240.0,0.412,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
SanDisk EXTREME PRO,156.23,480.0,0.325,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Intel 730,587.09,480.0,1.223,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Western Digital AV-GP,49.0,1500.0,0.033,5400,32.0,3.5,SATA 3.0 Gb/s,2023-09-12
Seagate BarraCuda Pro Compute,38.99,500.0,0.078,7200,128.0,2.5,SATA 6.0 Gb/s,2023-09-12
Seagate ST4000VN000,120.78,4000.0,0.03,5900,64.0,3.5,SATA 6.0 Gb/s,2023-09-12
Seagate Momentus 5400.6,20.98,250.0,0.084,5400,8.0,2.5,SATA 3.0 Gb/s,2023-09-12
Seagate Exos X14,298.49,10000.0,0.03,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Seagate BarraCuda,57.98,250.0,0.232,7200,8.0,3.5,SATA 6.0 Gb/s,2023-09-12
Kingston Q500,25.99,240.0,0.108,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Samsung PM893,285.5,3840.0,0.074,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Crucial MX200,397.77,500.0,0.796,SSD,,M.2-2260,M.2 SATA,2023-09-12
Intel D3-S4510,945.0,7680.0,0.123,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Patriot Viper VPN110,47.99,1000.0,0.048,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
ADATA Legend 850,34.99,512.0,0.068,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-09-12
KIOXIA EXCERIA,84.68,960.0,0.088,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Addlink S20,24.44,512.0,0.048,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Hitachi A7K2000,26.99,1000.0,0.027,7200,32.0,3.5,SATA 3.0 Gb/s,2023-09-12
Seagate IronWolf 525,329.0,2000.0,0.164,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-09-12
Western Digital Purple Pro,262.94,12000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
TEAMGROUP T-Create Classic,138.99,2000.0,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-09-12
Inland Prime,29.99,250.0,0.12,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Seagate Enterprise Capacity,85.49,4000.0,0.021,7200,128.0,3.5,SATA 6.0 Gb/s,2023-09-12
Toshiba P300,57.69,2000.0,0.029,5400,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
PNY CS2130,99.99,1000.0,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Toshiba HDKCC00,49.0,500.0,0.098,7200,16.0,2.5,SATA 6.0 Gb/s,2023-09-12
TEAMGROUP GX1,28.0,120.0,0.233,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Toshiba OCZ TR200,110.0,480.0,0.229,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Seagate BarraCuda,45.0,500.0,0.09,5400,128.0,2.5,SATA 6.0 Gb/s,2023-09-12
Hitachi Ultrastar 7K6000,520.96,6000.0,0.087,7200,128.0,3.5,SATA 6.0 Gb/s,2023-09-12
Intel DC S3700,99.0,100.0,0.99,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Samsung Spinpoint F3R,135.0,1000.0,0.135,7200,32.0,3.5,SATA 3.0 Gb/s,2023-09-12
Seagate IronWolf NAS,250.0,10000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
SanDisk X400,195.53,128.0,1.528,SSD,,M.2-2280,M.2 SATA,2023-09-12
HP EX920,59.99,256.0,0.234,SSD,256.0,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Western Digital RE4,74.98,1000.0,0.075,7200,64.0,3.5,SATA 3.0 Gb/s,2023-09-12
Intel D3-S4510,179.99,3840.0,0.047,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Western Digital Red Plus,103.99,4000.0,0.026,5400,64.0,3.5,SATA 6.0 Gb/s,2023-09-12
Western Digital Caviar Green,80.98,1000.0,0.081,5400,32.0,3.5,SATA 3.0 Gb/s,2023-09-12
Intel 530,106.17,120.0,0.885,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Intel 600p,149.0,1000.0,0.149,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Western Digital Purple,79.0,2000.0,0.04,5400,64.0,3.5,SATA 6.0 Gb/s,2023-09-12
Seagate BarraCuda 120,399.95,2000.0,0.2,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Addlink S68,43.99,1000.0,0.044,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Western Digital Red,89.99,4000.0,0.022,5400,64.0,3.5,SATA 6.0 Gb/s,2023-09-12
Toshiba X300,149.0,4000.0,0.037,7200,128.0,3.5,SATA 6.0 Gb/s,2023-09-12
HP FX900 Pro,114.99,2000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-09-12
Corsair CSSD-F4000GBMP600PHX,359.99,4000.0,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-09-12
Seagate EXOS Enterprise,142.37,4000.0,0.036,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Seagate SkyHawk,91.99,4000.0,0.023,5900,64.0,3.5,SATA 6.0 Gb/s,2023-09-12
Seagate SkyHawk AI,208.79,8000.0,0.026,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
ADATA LEGEND 970,169.99,1000.0,0.17,SSD,,M.2-2280,M.2 PCIe 5.0 X4,2023-09-12
Seagate IronWolf 125,54.99,250.0,0.22,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Western Digital PC SN730,70.0,512.0,0.137,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Toshiba MD04ACA600,433.12,6000.0,0.072,7200,128.0,3.5,SATA 6.0 Gb/s,2023-09-12
Samsung PM961,107.0,512.0,0.209,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
SanDisk X400,279.99,512.0,0.547,SSD,,M.2-2280,M.2 SATA,2023-09-12
Western Digital Purple,156.94,6000.0,0.026,5400,64.0,3.5,SATA 6.0 Gb/s,2023-09-12
Transcend 110S,24.99,256.0,0.098,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
TEAMGROUP MP44S,169.99,2000.0,0.085,SSD,,M.2-2230,M.2 PCIe 4.0 X4,2023-09-12
Western Digital Red SA500,84.99,1000.0,0.085,SSD,,M.2-2280,M.2 SATA,2023-09-12
Addlink A95,119.99,2000.0,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-09-12
Western Digital RE,87.36,3000.0,0.029,7200,64.0,3.5,SATA 6.0 Gb/s,2023-09-12
Intel DC P4510,79.98,1000.0,0.08,SSD,,2.5,U.2,2023-09-12
Western Digital Blue,149.0,250.0,0.596,SSD,,M.2-2280,M.2 SATA,2023-09-12
Inland Gaming Performance Plus,304.99,4000.0,0.076,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-09-12
Intel 750,499.0,400.0,1.248,SSD,,PCIe,PCIe x4,2023-09-12
Seagate BarraCuda,239.58,3000.0,0.08,5400,128.0,2.5,SATA 6.0 Gb/s,2023-09-12
Kingston DC1000B,78.26,240.0,0.326,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Western Digital Caviar Blue,108.59,1000.0,0.109,7200,32.0,3.5,SATA 6.0 Gb/s,2023-09-12
Seagate ST2000NX0253,171.0,2000.0,0.086,7200,128.0,2.5,SATA 6.0 Gb/s,2023-09-12
Western Digital Caviar Blue,54.95,250.0,0.22,7200,8.0,3.5,SATA 3.0 Gb/s,2023-09-12
Seagate BarraCuda,133.72,1500.0,0.089,7200,64.0,3.5,SATA 6.0 Gb/s,2023-09-12
Addlink S90 Lite,33.88,512.0,0.066,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-09-12
Mushkin SOURCE 2,61.58,1000.0,0.062,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Western Digital Blue Mobile,34.99,500.0,0.07,5400,128.0,2.5,SATA 6.0 Gb/s,2023-09-12
VisionTek PRO XPN,208.99,1000.0,0.209,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
VisionTek PRO XPN,230.08,2000.0,0.115,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
VisionTek PRO XMN,91.72,500.0,0.183,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
VisionTek PRO XMN,162.79,1000.0,0.163,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
VisionTek PRO HXS,53.86,256.0,0.21,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
VisionTek PRO,84.99,500.0,0.17,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Intel DC S3500,135.0,240.0,0.562,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Kingston SSDNOW DC500R,164.58,1920.0,0.086,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Intel DC S4500,450.0,960.0,0.469,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Intel DC S4600,356.33,1900.0,0.188,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Intel D3-S4610,92.17,240.0,0.384,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Sony Optiarc,37.95,240.0,0.158,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
VisionTek PRO,92.08,480.0,0.192,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
VisionTek 900802,116.94,256.0,0.457,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Western Digital SN520,199.88,512.0,0.39,SSD,,M.2-2280,M.2 PCIe 3.0 X2,2023-09-12
Hitachi Ultrastar He10,325.0,8000.0,0.041,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Lexar NS200,99.99,480.0,0.208,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Seagate Nytro Enterprise,425.0,960.0,0.443,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Seagate Nytro Enterprise,532.12,960.0,0.554,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Seagate Enterprise Capacity,261.38,6000.0,0.044,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Seagate Enterprise Capacity,170.62,4000.0,0.043,7200,128.0,3.5,SATA 6.0 Gb/s,2023-09-12
Seagate Enterprise Capacity,129.99,3000.0,0.043,7200,128.0,3.5,SATA 6.0 Gb/s,2023-09-12
Seagate Enterprise Capacity,135.0,2000.0,0.068,7200,128.0,3.5,SATA 6.0 Gb/s,2023-09-12
Seagate Enterprise Capacity,82.27,1000.0,0.082,7200,128.0,3.5,SATA 6.0 Gb/s,2023-09-12
Toshiba N300,269.0,6000.0,0.045,7200,128.0,3.5,SATA 6.0 Gb/s,2023-09-12
VisionTek PRO,285.49,1000.0,0.285,SSD,,M.2-2280,M.2 SATA,2023-09-12
Seagate SkyHawk,299.0,10000.0,0.03,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Intel Pro 5400s,154.0,180.0,0.856,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Intel 750,359.97,800.0,0.45,SSD,,2.5,U.2,2023-09-12
Seagate Momentus 7200.4,29.99,160.0,0.187,7200,16.0,2.5,SATA 3.0 Gb/s,2023-09-12
Seagate SkyHawk AI,268.83,10000.0,0.027,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Intel SSDSC2BB800G601,349.19,800.0,0.436,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Centon MP Essential,33.99,240.0,0.142,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Toshiba MG08,285.68,14000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s,2023-09-12
Toshiba MG06ACA800E,237.31,8000.0,0.03,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Lenovo 5300,392.0,960.0,0.408,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Lenovo 5300,454.73,480.0,0.947,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
VisionTek PRO XMN,59.67,256.0,0.233,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
VisionTek PRO XPN,110.85,512.0,0.217,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
VisionTek PRO HXS,89.99,500.0,0.18,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
VisionTek PRO HXS,174.04,1000.0,0.174,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
VisionTek PRO HXS,320.73,2000.0,0.16,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
VisionTek PRO ECS,349.99,2000.0,0.175,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
VisionTek PRO ECS,80.31,250.0,0.321,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
VisionTek PRO ECS,159.99,1000.0,0.16,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Intel DC P4801X,219.04,100.0,2.19,SSD,,2.5,U.2,2023-09-12
Centon MP Essential,52.99,480.0,0.11,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Angelbird AV PRO XT,449.94,500.0,0.9,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Mushkin Pilot-E,39.99,250.0,0.16,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
VisionTek PRO,75.99,500.0,0.152,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Toshiba N300,249.0,6000.0,0.042,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Toshiba MG06ACA600E,179.95,6000.0,0.03,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
V7 V7SSD480GBS25U,31.73,480.0,0.066,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
V7 V7SSD128GBNV3U,29.99,128.0,0.234,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Intel D3-S4510,89.95,480.0,0.187,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Intel D3-S4620,158.88,960.0,0.166,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Intel D3-S4620,269.89,1920.0,0.141,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
V7 V7SSD240GBS25U,36.99,240.0,0.154,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Hitachi Ultrastar He8,325.0,8000.0,0.041,7200,128.0,3.5,SATA 6.0 Gb/s,2023-09-12
Toshiba X300,203.98,6000.0,0.034,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Toshiba N300,302.0,6000.0,0.05,7200,,3.5,SATA 6.0 Gb/s,2023-09-12
Kingston DC1500M,113.64,960.0,0.118,SSD,,2.5,U.2,2023-09-12
VisionTek PRO,47.99,250.0,0.192,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Toshiba N300,209.98,6000.0,0.035,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
VisionTek PRO,248.99,2000.0,0.124,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Intel DC S3520,219.12,480.0,0.456,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Intel SSDSC2BB240G601,315.0,240.0,1.312,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Dell K054N,103.9,600.0,0.173,10000,16.0,3.5,SAS 6.0 Gb/s,2023-09-12
Hitachi 7K1000.C,279.95,750.0,0.373,7200,32.0,3.5,SATA 3.0 Gb/s,2023-09-12
Western Digital AV-GP,79.52,250.0,0.318,5400,8.0,3.5,SATA 3.0 Gb/s,2023-09-12
Western Digital Scorpio Blue,85.06,320.0,0.266,5400,8.0,2.5,SATA 3.0 Gb/s,2023-09-12
Western Digital Scorpio Black,125.0,80.0,1.562,7200,16.0,2.5,SATA 3.0 Gb/s,2023-09-12
Western Digital Scorpio Black,87.0,160.0,0.544,7200,16.0,2.5,SATA 3.0 Gb/s,2023-09-12
Western Digital RE2-GP,249.95,750.0,0.333,7200,16.0,3.5,SATA 3.0 Gb/s,2023-09-12
Western Digital RE2,98.0,160.0,0.613,7200,16.0,3.5,SATA 3.0 Gb/s,2023-09-12
Western Digital RE2,120.0,750.0,0.16,7200,16.0,3.5,SATA 3.0 Gb/s,2023-09-12
VisionTek DLX4,71.99,512.0,0.141,SSD,,M.2-2230,M.2 PCIe 4.0 X4,2023-09-12
KIOXIA EXCERIA PLUS,473.99,2000.0,0.237,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-09-12
Kingston DC500R,73.2,480.0,0.152,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Angelbird AV PRO MK3,399.99,1000.0,0.4,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Centon MP Essential,39.99,960.0,0.042,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
VisionTek PRO,45.2,250.0,0.181,SSD,,2.5,SATA 6.0 Gb/s,2023-09-12
Intel X25-M,199.0,160.0,1.244,SSD,,2.5,SATA 3.0 Gb/s,2023-09-12
Seagate EXOS Enterprise,134.96,2000.0,0.067,7200,256.0,3.5,SATA 6.0 Gb/s,2023-09-12
Seagate Enterprise Capacity,199.0,6000.0,0.033,7200,256.0,3.5,SAS 12.0 Gb/s,2023-09-12
Seagate Enterprise Capacity,189.95,4000.0,0.047,7200,128.0,3.5,SAS 12.0 Gb/s,2023-09-12
Hitachi 0F10942,125.0,2000.0,0.062,7200,32.0,3.5,SATA 6.0 Gb/s,2023-09-12
Intel 750,399.0,400.0,0.998,SSD,,2.5,U.2,2023-09-12
Intel 750,475.0,1200.0,0.396,SSD,,2.5,U.2,2023-09-12
Hitachi Ultrastar 7K6000,145.88,6000.0,0.024,7200,128.0,3.5,SAS 12.0 Gb/s,2023-09-12
Seagate ST4000NM0034,165.0,4000.0,0.041,7200,128.0,3.5,SAS 12.0 Gb/s,2023-09-12
Transcend MTS600,131.0,64.0,2.047,SSD,,M.2-2260,M.2 SATA,2023-09-12
Seagate Constellation ES,99.0,2000.0,0.05,7200,16.0,3.5,SAS 6.0 Gb/s,2023-09-12
Toshiba PH3300U-1I72,159.0,3000.0,0.053,7200,64.0,3.5,SATA 6.0 Gb/s,2023-09-12
Western Digital Scorpio Black,46.46,320.0,0.145,7200,16.0,2.5,SATA 3.0 Gb/s,2023-09-12
VisionTek DLX4,98.73,1000.0,0.099,SSD,,M.2-2230,M.2 PCIe 4.0 X4,2023-09-12
