name,price,socket,form_factor,max_memory,memory_slots,color,snapshot_date
Gigabyte Z690I AORUS ULTRA,399.0,LGA1700,MiniITX,64,2,Black/Silver,2023-08-06
Asus PRIME H610M-E D4-CSM,99.99,LGA1700,MicroATX,64,2,Silver/Black,2023-08-06
Asus TUF GAMING B660M-PLUS D4,163.79,LGA1700,MicroATX,128,4,Orange/Black,2023-08-06
MSI Z590 PRO WIFI,284.52,LGA1200,ATX,128,4,Black,2023-08-06
Biostar B450MH,106.13,AM4,MicroATX,32,2,Black/Yellow,2023-08-06
MSI MEG X570S UNIFY-X MAX,327.99,AM4,ATX,64,2,Black,2023-08-06
Asus PRIME B450M-K,169.9,AM4,MicroATX,32,2,Black,2023-08-06
Asus PRIME B560M-A AC,200.0,LGA1200,MicroATX,128,4,Black/Silver,2023-08-06
Gigabyte Z390 AORUS ELITE,269.99,LGA1151,ATX,128,4,Black/Silver,2023-08-06
Asus ROG MAXIMUS XII HERO (WI-FI),450.0,LGA1200,ATX,128,4,Black,2023-08-06
ASRock Z390 Pro4,280.99,LGA1151,ATX,128,4,Black/Silver,2023-08-06
Asus PRIME B760M-K D4,137.99,LGA1700,MicroATX,64,2,Silver/Black,2023-08-06
ASRock X570 Taichi Razer Edition,235.99,AM4,ATX,128,4,Black/Silver,2023-08-06
Asus TUF GAMING B660M-E D4,182.45,LGA1700,MicroATX,128,4,Black/Orange,2023-08-06
Asus TUF GAMING Z690-PLUS D4,280.37,LGA1700,ATX,128,4,Black/Silver,2023-08-06
ASRock B660M Steel Legend,149.99,LGA1700,MicroATX,128,4,Silver/Black,2023-08-06
ASRock Z370 Extreme4,989.6,LGA1151,ATX,64,4,Black/Silver,2023-08-06
Gigabyte X299X DESIGNARE 10G,1249.0,LGA2066,EATX,256,8,Black/Silver,2023-08-06
Asus PRIME A320M-A,108.09,AM4,MicroATX,64,4,Black/Gray,2023-08-06
Asus PRIME X370-PRO,360.45,AM4,ATX,64,4,Black/White,2023-08-06
MSI MAG Z590 TOMAHAWK WIFI,243.33,LGA1200,ATX,128,4,Black,2023-08-06
Asus TUF GAMING B560M-PLUS,162.32,LGA1200,MicroATX,128,4,Black/Gold,2023-08-06
Gigabyte Z690 AORUS ELITE DDR4,246.45,LGA1700,ATX,128,4,Black/Silver,2023-08-06
Gigabyte X570 AORUS MASTER,534.9,AM4,ATX,128,4,Black/Silver,2023-08-06
ASRock A520M Pro4,99.99,AM4,MicroATX,128,4,Black/Silver,2023-08-06
Gigabyte Z590 VISION G,259.99,LGA1200,ATX,128,4,Black/White,2023-08-06
ASRock B450 Pro4,181.0,AM4,ATX,64,4,Black/Silver,2023-08-06
Asus PRIME B550M-A/CSM,119.99,AM4,MicroATX,128,4,Black/White,2023-08-06
ASRock Z790 Taichi Carrara,666.24,LGA1700,EATX,128,4,White/Black,2023-08-06
Asus ROG Crosshair VIII Hero,407.61,AM4,ATX,128,4,Black,2023-08-06
ASRock H570 Steel Legend,105.99,LGA1200,ATX,128,4,Silver/Black,2023-08-06
Gigabyte X570SI AORUS PRO AX,399.99,AM4,MiniITX,64,2,Black/Silver,2023-08-06
MSI MPG Z590 GAMING PLUS,159.0,LGA1200,ATX,128,4,Black,2023-08-06
MSI PRO Z690-A,365.0,LGA1700,ATX,128,4,Black/Silver,2023-08-06
ASRock Z790 PG SONIC,269.0,LGA1700,ATX,128,4,Black/Blue,2023-08-06
ASRock X570 Pro4,149.99,AM4,ATX,128,4,Black/Silver,2023-08-06
MSI A320M-A PRO MAX,199.99,AM4,MicroATX,32,2,Black,2023-08-06
ASRock A620M-HDV/M.2,109.99,AM5,MicroATX,64,2,Gray/Black,2023-08-06
Gigabyte Z690 AORUS MASTER,533.24,LGA1700,EATX,128,4,Black,2023-08-06
ASRock Z590 Steel Legend,135.99,LGA1200,ATX,128,4,Silver/Black,2023-08-06
Asus ROG STRIX B550-E GAMING,479.0,AM4,ATX,128,4,Black,2023-08-06
ASRock H610M-HDV,91.99,LGA1700,MicroATX,64,2,Gray/Black,2023-08-06
Asus ROG Strix X299-E Gaming II,453.21,LGA2066,ATX,256,8,Black,2023-08-06
ASRock X570 Taichi,218.99,AM4,ATX,128,4,Black/Silver,2023-08-06
Asus Strix B550-XE Gaming WiFi,249.99,AM4,ATX,128,4,Black,2023-08-06
Asus ROG STRIX B660-F GAMING WIFI,280.9,LGA1700,ATX,128,4,Black,2023-08-06
Gigabyte Z690 AORUS ULTRA,265.23,LGA1700,ATX,128,4,Black,2023-08-06
MSI PRO Z790-A WIFI DDR4,219.99,LGA1700,ATX,128,4,Black/Silver,2023-08-06
Gigabyte B550M AORUS PRO-P,174.05,AM4,MicroATX,128,4,Black,2023-08-06
MSI Z590-A PRO,140.69,LGA1200,ATX,128,4,Black,2023-08-06
MSI MEG Z590 UNIFY,129.99,LGA1200,ATX,128,4,Black,2023-08-06
ASRock H510M-ITX/ac,131.99,LGA1200,MiniITX,64,2,Silver/Black,2023-08-06
Asus TUF GAMING B760-PLUS WIFI,199.99,LGA1700,ATX,128,4,Black,2023-08-06
Asus ROG Strix X570-F Gaming,449.05,AM4,ATX,128,4,Black,2023-08-06
MSI MEG Z690I UNIFY,309.99,LGA1700,MiniITX,96,2,Black/Silver,2023-08-06
EVGA Z790 DARK K|NGP|N,599.99,LGA1700,EATX,64,2,Black,2023-08-06
ASRock Z790 Taichi,479.99,LGA1700,EATX,128,4,Black/Gold,2023-08-06
ASRock B650E TAICHI,369.99,AM5,EATX,128,4,Black,2023-08-06
Gigabyte Z790I AORUS ULTRA,339.99,LGA1700,MiniITX,96,2,Silver/Black,2023-08-06
Gigabyte B550 AORUS PRO AC,299.99,AM4,ATX,128,4,Black/Orange,2023-08-06
Gigabyte Z690 UD DDR4,226.93,LGA1700,ATX,128,4,Black,2023-08-06
Supermicro X11SCL-IF,248.79,LGA1151,MiniITX,64,2,Green,2023-08-06
ASRock 970M PRO3,99.99,AM3+/AM3,MicroATX,64,4,Black,2023-08-06
Gigabyte A520M H,87.46,AM4,MicroATX,64,2,Black,2023-08-06
ASRock Z790 Pro RS/D4,179.99,LGA1700,ATX,128,4,Silver/Black,2023-08-06
ASRock H470M-HDV,85.39,LGA1200,MicroATX,64,2,Black/Silver,2023-08-06
Asus PRIME B660M-K D4,124.89,LGA1700,MicroATX,64,2,Silver/Black,2023-08-06
MSI B450-A PRO,199.99,AM4,ATX,64,4,Brown/Black,2023-08-06
ASRock B550 Taichi,189.99,AM4,ATX,128,4,Gold/Black,2023-08-06
MSI MPG X570 GAMING PRO CARBON WIFI,449.19,AM4,ATX,128,4,Black/Silver,2023-08-06
Asus Prime X299-A II,229.99,LGA2066,ATX,256,8,Silver/Black,2023-08-06
Asus PRIME B650M-A AX II,179.99,AM5,MicroATX,128,4,Black/Silver,2023-08-06
ASRock X570 PG Velocita,199.99,AM4,ATX,128,4,Black/Silver,2023-08-06
Asus TUF GAMING B550-PLUS (WI-FI),289.0,AM4,ATX,128,4,Black,2023-08-06
Asus PRIME H510M-A,117.8,LGA1200,MicroATX,64,2,Black/Silver,2023-08-06
ASRock Fatal1ty X370 Gaming K4,99.99,AM4,ATX,64,4,Black/Red,2023-08-06
Gigabyte B760 GAMING X AX DDR4,249.87,LGA1700,ATX,128,4,Black,2023-08-06
Asus PRIME A520M-E,94.96,AM4,MicroATX,64,2,Black,2023-08-06
ASRock Z690 Phantom Gaming 4,139.99,LGA1700,ATX,128,4,Black/Silver,2023-08-06
Asus PROART B760-CREATOR D4,189.99,LGA1700,ATX,128,4,Black/Copper,2023-08-06
Asus TUF B450-PLUS GAMING,194.46,AM4,ATX,64,4,Black/Gold,2023-08-06
Asus TUF GAMING A520M-PLUS,170.0,AM4,MicroATX,128,4,Black,2023-08-06
ASRock Z590 Extreme,116.0,LGA1200,ATX,128,4,Black/Blue,2023-08-06
ASRock H670 Steel Legend,221.82,LGA1700,ATX,128,4,Silver/Gray,2023-08-06
Asus ProArt B660-CREATOR D4,179.99,LGA1700,ATX,128,4,Black,2023-08-06
MSI MAG Z490 TOMAHAWK,359.0,LGA1200,ATX,128,4,Black/Silver,2023-08-06
ASRock Z790 LiveMixer,252.99,LGA1700,ATX,128,4,Purple/Black,2023-08-06
Asus PRIME Z690M-PLUS D4,249.0,LGA1700,MicroATX,128,4,Silver/Black,2023-08-06
Asus TUF GAMING Z790-PLUS D4,353.98,LGA1700,ATX,128,4,Black,2023-08-06
Gigabyte B660 GAMING X AX DDR4,349.0,LGA1700,ATX,128,4,Black,2023-08-06
Asus ROG MAXIMUS XIII HERO,342.99,LGA1200,ATX,128,4,Black,2023-08-06
Gigabyte Z790 AORUS ELITE AX-W,458.0,LGA1700,ATX,192,4,Silver/Black,2023-08-06
Gigabyte B550 AORUS ELITE,206.49,AM4,ATX,128,4,Black/Silver,2023-08-06
MSI MEG Z690 UNIFY,349.99,LGA1700,ATX,128,4,Black/Silver,2023-08-06
MSI MPG Z690 EDGE WIFI,289.95,LGA1700,ATX,128,4,,2023-08-06
MSI MPG Z390 GAMING PRO CARBON,397.0,LGA1151,ATX,128,4,Black/Silver,2023-08-06
Asus PRIME H610M-A D4,134.88,LGA1700,MicroATX,64,2,Silver/Black,2023-08-06
ASRock H670 PG Riptide,119.99,LGA1700,ATX,128,4,Black,2023-08-06
MSI B450M PRO-M2 MAX,164.97,AM4,MicroATX,32,2,Black,2023-08-06
Gigabyte B660I AORUS Pro DDR4,267.74,LGA1700,MiniITX,64,2,Black,2023-08-06
NZXT N7-Z69XT-B1,299.73,LGA1700,ATX,128,4,Black,2023-08-06
ASRock Z690 Extreme WiFi 6E,196.99,LGA1700,ATX,128,4,Black/Blue,2023-08-06
Gigabyte H610M H DDR4,110.0,LGA1700,MicroATX,64,2,Black/Gray,2023-08-06
MSI Z270-A PRO,493.92,LGA1151,ATX,64,4,Brown/Black,2023-08-06
Asus ROG Crosshair VIII Extreme,1109.43,AM4,EATX,128,4,Black,2023-08-06
EVGA Z790 CLASSIFIED,489.99,LGA1700,EATX,128,4,Black,2023-08-06
Asus PRIME H310M-K R2.0,177.26,LGA1151,MicroATX,32,2,Black,2023-08-06
Asus TUF Z390-PLUS GAMING (WI-FI),355.95,LGA1151,ATX,128,4,Black/Gold,2023-08-06
Asus ROG STRIX Z590-A GAMING WIFI,294.99,LGA1200,ATX,128,4,Silver/Black,2023-08-06
ASRock B550 Extreme4,144.99,AM4,ATX,128,4,Blue/Black,2023-08-06
Asus B75M-Plus,198.5,LGA1155,MicroATX,32,4,Black/Blue,2023-08-06
Asus PRIME Z590-A,240.0,LGA1200,ATX,128,4,Silver/Black,2023-08-06
Gigabyte B560M AORUS PRO AX,259.99,LGA1200,MicroATX,128,4,Black/Silver,2023-08-06
Asus PRIME H510M-R,94.79,LGA1200,MicroATX,64,2,Black,2023-08-06
Gigabyte Z690 AORUS XTREME,886.99,LGA1700,EATX,128,4,Black,2023-08-06
Supermicro X9SRI-F-O,549.99,LGA2011,ATX,64,8,Green,2023-08-06
Gigabyte Q670M D3H,179.99,LGA1700,MicroATX,128,4,Brown/Gray,2023-08-06
ASRock Z590 Phantom Gaming-ITX/TB4,327.49,LGA1200,MiniITX,64,2,Black/Red,2023-08-06
Asus WS X299 SAGE,529.99,LGA2066,SSICEB,128,8,Black,2023-08-06
Gigabyte Z490 AORUS ELITE,239.99,LGA1200,ATX,128,4,Black/Silver,2023-08-06
Asus M5A78L-M LX PLUS,239.97,AM3+,MicroATX,16,2,Black/Blue,2023-08-06
EVGA X299 DARK,447.15,LGA2066,EATX,64,4,Black/Silver,2023-08-06
Asus ROG Maximus XIII Extreme,629.99,LGA1200,EATX,128,4,Silver/Black,2023-08-06
Gigabyte Z490 UD AC,214.12,LGA1200,ATX,128,4,Black/Silver,2023-08-06
Asus Pro Q670M-C-CSM,169.19,LGA1700,MicroATX,128,4,Green/Black,2023-08-06
Asus PRIME H510M-D,206.0,LGA1200,MicroATX,64,2,Black/Silver,2023-08-06
Supermicro MBD-X11SAE-F-O,384.12,LGA1151,ATX,64,4,Black/Green,2023-08-06
Asus PRIME H310M-E,199.0,LGA1151,MicroATX,32,2,Silver/Black,2023-08-06
ASRock X299 Steel Legend,451.07,LGA2066,ATX,256,8,Silver/Black,2023-08-06
Asus PRIME H510M-A/CSM,139.99,LGA1200,MicroATX,64,2,Black/Silver,2023-08-06
Asus ROG MAXIMUS XI GENE,543.49,LGA1151,MicroATX,64,2,Black,2023-08-06
ASRock Fatal1ty Z370 Gaming K6,431.99,LGA1151,ATX,64,4,Black/Silver,2023-08-06
Asus WS X299 PRO,507.29,LGA2066,ATX,128,8,Black/Silver,2023-08-06
MSI B560M PRO WIFI,199.0,LGA1200,MicroATX,64,2,Black,2023-08-06
Biostar H610MH,113.07,LGA1700,MicroATX,64,2,Gray/Black,2023-08-06
Supermicro X11SCL-LN4F,384.99,LGA1151,MicroATX,128,4,Green,2023-08-06
ASRock B460M-HDV,189.0,LGA1200,MicroATX,64,2,Black,2023-08-06
ASRock C246M WS,294.54,LGA1151,MicroATX,64,4,Green/Blue,2023-08-06
Gigabyte A620M GAMING X AX,211.1,AM5,MicroATX,128,4,Brown/Gray,2023-08-06
Asus PRIME H570M-PLUS/CSM,147.99,LGA1200,MicroATX,128,4,Black/Silver,2023-08-06
MSI MEG Z590 ACE,339.99,LGA1200,ATX,128,4,Black,2023-08-06
ASRock X299 Taichi CLX,582.0,LGA2066,ATX,256,8,Black/Silver,2023-08-06
Gigabyte Z590 UD,213.74,LGA1200,ATX,128,4,Black,2023-08-06
Asus ROG MAXIMUS XII EXTREME,950.0,LGA1200,EATX,128,4,Black,2023-08-06
ASRock Fatal1ty AB350 Gaming K4,207.61,AM4,ATX,64,4,Black/Red,2023-08-06
MSI MEG B550 UNIFY-X,444.37,AM4,ATX,64,2,Black,2023-08-06
ASRock X299 WSI/IPMI,245.02,LGA2066,MiniITX,64,4,Black/Silver,2023-08-06
ASRock X470D4U,268.73,AM4,MicroATX,64,4,Green,2023-08-06
MSI MEG Z590 GODLIKE,530.0,LGA1200,EATX,128,4,Black/Silver,2023-08-06
Gigabyte Z490 AORUS MASTER,579.0,LGA1200,ATX,128,4,Black/Silver,2023-08-06
Asus Q87T/CSM,195.48,LGA1150,ThinMiniITX,16,2,Black/Gold,2023-08-06
Gigabyte Z590 AORUS ELITE,297.0,LGA1200,ATX,128,4,Black,2023-08-06
MSI MEG Z490 ACE,399.0,LGA1200,ATX,128,4,Black/Gold,2023-08-06
MSI Z270 GAMING M3,506.49,LGA1151,ATX,64,4,Black/Red,2023-08-06
ASRock X570D4U,350.0,AM4,MicroATX,128,4,Green,2023-08-06
Asus ROG Maximus XIII Apex,649.99,LGA1200,ATX,64,2,Black,2023-08-06
Supermicro MBD-X11SCV-Q-O,349.99,LGA1151,MiniITX,64,2,Green/Black,2023-08-06
Supermicro X10SLL-F,308.55,LGA1150,MicroATX,32,4,Black/Green,2023-08-06
Gigabyte GA-X58A-UD7,515.0,LGA1366,ATX,24,6,Blue/White,2023-08-06
Gigabyte Z490M GAMING X,372.49,LGA1200,MicroATX,128,4,Black/Silver,2023-08-06
Supermicro X9SRH-7TF,799.99,LGA2011,ATX,64,8,Green/Blue,2023-08-06
EVGA Z370 Classified K,456.49,LGA1151,ATX,64,4,Black/Silver,2023-08-06
Supermicro X10SLM-F-O,328.2,LGA1150,MicroATX,32,4,Black/Green,2023-08-06
Supermicro C9Z490-PGW,513.99,LGA1200,ATX,128,4,Black,2023-08-06
Supermicro MBD-X11SSH-LN4F,383.0,LGA1151,MicroATX,64,4,Green/Black,2023-08-06
ASRock Z590 Taichi,499.0,LGA1200,ATX,128,4,Black/Silver,2023-08-06
Biostar B660MX-E,194.0,LGA1700,MicroATX,64,2,Gray/Black,2023-08-06
ASRock Z490 PG Velocita,454.23,LGA1200,ATX,128,4,Black/Silver,2023-08-06
Gigabyte H470 AORUS PRO AX,249.99,LGA1200,ATX,128,4,Black/Silver,2023-08-06
Gigabyte Z590 AORUS TACHYON,319.99,LGA1200,EATX,64,2,Black,2023-08-06
Biostar Z590GTA,199.99,LGA1200,ATX,128,4,Blue/Black,2023-08-06
