name,price,type,efficiency,wattage,modular,color,snapshot_date
Montech TITAN GOLD 1000W,174.99,ATX,gold,1000,Full,Black,2023-09-12
Gigabyte UD1000GM PG5,184.37,ATX,gold,1000,Full,Black,2023-09-12
FSP Group Dagger Pro,129.99,SFX,gold,750,Full,Black / Gold,2023-09-12
EVGA SuperNOVA 650 G1,218.49,ATX,gold,650,Full,,2023-09-12
Razer Katana Chroma,389.99,ATX,platinum,1200,Full,Black,2023-09-12
Corsair AX850,499.94,ATX,titanium,850,Full,Black / Silver,2023-09-12
SeaSonic PRIME,265.19,ATX,gold,1000,Full,Black,2023-09-12
Silverstone SX700-PT,154.87,SFX,platinum,700,Full,Black,2023-09-12
Deepcool PX-G,194.99,ATX,gold,1000,Full,Black,2023-09-12
Corsair HX850i,436.93,ATX,platinum,850,Full,,2023-09-12
SeaSonic FOCUS,119.99,ATX,platinum,650,Full,Black,2023-09-12
Cooler Master V850 Gold i,109.99,ATX,gold,850,Full,Black / Gold,2023-09-12
Silverstone SST-TX300,74.98,TFX,bronze,300,False,Black,2023-09-12
SeaSonic VERTEX GX-850,219.99,ATX,gold,850,Full,Black / Silver,2023-09-12
SeaSonic FOCUS SPX (2021),174.99,SFX,platinum,750,Full,Black,2023-09-12
Corsair AX760,699.94,ATX,platinum,760,Full,,2023-09-12
Vetroo GV1000,135.99,ATX,gold,1000,Full,White,2023-09-12
EVGA 550 BP,74.94,ATX,bronze,550,False,Black,2023-09-12
EVGA 500 GD,69.98,ATX,gold,500,False,Black,2023-09-12
Super Flower Leadex Platinum SE,154.99,ATX,platinum,1000,Full,White,2023-09-12
EVGA 650 B5,169.99,ATX,bronze,650,Full,Black,2023-09-12
Corsair CX650F,179.99,ATX,bronze,650,Full,White / Black,2023-09-12
Vetroo GV1000,129.99,ATX,gold,1000,Full,Black,2023-09-12
SeaSonic PRIME PX,399.34,ATX,platinum,1600,Full,Black / Silver,2023-09-12
SeaSonic FOCUS Plus 550 Gold,207.94,ATX,gold,550,Full,,2023-09-12
SeaSonic PRIME Fanless,298.98,ATX,titanium,700,Full,Black,2023-09-12
Corsair SF450,218.44,SFX,gold,450,Full,,2023-09-12
Super Flower Leadex III Gold,158.68,ATX,gold,850,Full,Black,2023-09-12
be quiet! Pure Power 11 FM 1000,163.59,ATX,gold,1000,Full,Black,2023-09-12
Corsair CX550F,180.43,ATX,bronze,550,Full,Black,2023-09-12
be quiet! Pure Power 11 CM,114.89,ATX,gold,700,Semi,Black,2023-09-12
Super Flower Leadex Titanium,204.99,ATX,titanium,1000,Full,Black,2023-09-12
Silverstone HELA 850R,211.87,ATX,platinum,850,Full,Black / Silver,2023-09-12
Cooler Master XG750 Plus,134.69,ATX,platinum,750,Full,Black,2023-09-12
Deepcool PX-G,154.99,ATX,gold,850,Full,Black,2023-09-12
Silverstone Strider Titanium,353.99,ATX,titanium,1300,Full,Black / Blue,2023-09-12
Thermaltake Toughpower GX1,91.82,ATX,gold,600,Semi,Black,2023-09-12
EVGA SuperNOVA 1300 G+,323.3,ATX,gold,1300,Full,Black,2023-09-12
Corsair HX750i,436.94,ATX,platinum,750,Full,,2023-09-12
FSP Group FSP400-60FGGBA,109.99,Flex ATX,gold,400,False,,2023-09-12
GAMDIAS KRATOS P1 G,84.99,ATX,gold,750,False,Black,2023-09-12
EVGA SuperNOVA 650 G+,177.78,ATX,gold,650,Full,Black,2023-09-12
Athena Power Apollo,46.99,SFX,,300,False,,2023-09-12
be quiet! Straight Power 12,379.9,ATX,platinum,1500,Full,Black,2023-09-12
Asus TUF Gaming B,134.22,ATX,bronze,550,False,Black,2023-09-12
NOX Hummer,189.0,ATX,bronze,650,Semi,,2023-09-12
Corsair RM750x White,379.94,ATX,gold,750,Full,White / Black,2023-09-12
SeaSonic SSP-300SUG,82.99,Flex ATX,gold,300,False,,2023-09-12
EVGA 600 B1,191.99,ATX,bronze,600,False,,2023-09-12
EVGA SuperNOVA 1300 P+,299.99,ATX,platinum,1300,Full,Black,2023-09-12
CoolMax V-400,24.99,ATX,,400,False,,2023-09-12
Thermaltake Toughpower SFX,208.84,SFX,gold,1000,Full,Black,2023-09-12
SeaSonic FOCUS,151.96,ATX,platinum,750,Full,Black,2023-09-12
Corsair CX650 (2017),189.94,ATX,bronze,650,False,,2023-09-12
EVGA SuperNOVA 1600 G2,661.3,ATX,gold,1600,Full,,2023-09-12
Xilence XP500R6,90.25,ATX,,500,False,Black / Red,2023-09-12
SHARKOON SilentStorm Cool Zero 750,150.38,ATX,gold,750,Full,Black,2023-09-12
EVGA SuperNOVA 1000 G3,379.99,ATX,gold,1000,Full,,2023-09-12
Antec NeoECO Gold,177.78,ATX,gold,750,Full,,2023-09-12
SeaSonic PRIME,169.99,ATX,gold,850,Full,Black,2023-09-12
Super Flower Leadex Titanium,179.99,ATX,titanium,850,Full,Black,2023-09-12
Corsair RM1000,396.0,ATX,gold,1000,Full,,2023-09-12
EVGA 1000 GQ,327.99,ATX,gold,1000,Semi,,2023-09-12
Corsair TX850M Gold,316.72,ATX,gold,850,Semi,,2023-09-12
SHARKOON SilentStorm Cool Zero 650,138.59,ATX,gold,650,Full,Black,2023-09-12
Corsair RM650x,203.8,ATX,gold,650,Full,,2023-09-12
Corsair CX450 (2017),119.94,ATX,bronze,450,False,,2023-09-12
Corsair CS650M,299.99,ATX,gold,650,Semi,,2023-09-12
Super Flower LEADEX VII XG,144.99,ATX,gold,850,Full,Black,2023-09-12
Thermaltake TR2 S,79.09,ATX,plus,700,False,Black,2023-09-12
be quiet! Dark Power Pro 11,159.9,ATX,platinum,650,Semi,,2023-09-12
CoolMax ZX-600,82.08,ATX,plus,600,False,,2023-09-12
SHARKOON SilentStorm,169.0,SFX,bronze,450,False,Black,2023-09-12
Enermax MaxTytan,329.99,ATX,titanium,1050,Full,,2023-09-12
XFX TS,118.05,ATX,gold,550,False,,2023-09-12
Silverstone Strider,282.1,ATX,silver,1500,False,,2023-09-12
Cougar VTE X2,67.98,ATX,plus,600,False,Black,2023-09-12
Corsair VS400,371.94,ATX,plus,400,False,,2023-09-12
CoolMax ZU-1000B,117.06,ATX,bronze,1000,Semi,,2023-09-12
Athena Power APOLLO 600,196.21,SFX,bronze,600,False,,2023-09-12
Enermax MAXREVO SLI,319.99,ATX,gold,1350,Full,Black / Gold,2023-09-12
Rosewill VALENS-600,140.0,ATX,gold,600,False,,2023-09-12
Rosewill PHOTON-550,232.99,ATX,gold,550,Full,,2023-09-12
In Win P65,120.29,ATX,gold,650,Full,Black,2023-09-12
Super Flower Leadex VI Platinum PRO,228.68,ATX,platinum,1000,Full,Black / Blue,2023-09-12
Cooler Master MWE Gold V2 ATX3.0,191.93,ATX,gold,1050,Full,Black,2023-09-12
Corsair G700,323.93,ATX,plus,700,False,,2023-09-12
Super Flower Leadex V Pro,249.99,ATX,gold,1000,Full,Black / Gold,2023-09-12
Cougar BXM750,104.98,ATX,bronze,750,Semi,Orange / Black,2023-09-12
Cooler Master MWE Gold V2 ATX3.0,183.68,ATX,gold,1250,Full,Black,2023-09-12
SeaSonic VERTEX GX-750,193.68,ATX,gold,750,Full,Black / Silver,2023-09-12
ADATA XPG CYBERCORE,229.99,ATX,platinum,1000,Full,Black / Silver,2023-09-12
PC Power & Cooling Silencer,194.79,ATX,platinum,1050,Full,,2023-09-12
Silverstone Essential,114.26,ATX,gold,750,Semi,Black / Blue,2023-09-12
Silverstone TX300,82.6,TFX,bronze,300,False,Black,2023-09-12
Corsair TX650M,299.94,ATX,bronze,650,Semi,,2023-09-12
Fractal Design Anode Bronze,154.59,ATX,bronze,750,Semi,Black,2023-09-12
Thermaltake Toughpower PF1 - TT Premium Edition,370.28,ATX,platinum,1050,Full,Black,2023-09-12
Thermaltake Smart,196.77,ATX,bronze,750,Semi,,2023-09-12
Corsair TX850 V2,599.94,ATX,bronze,850,False,,2023-09-12
SeaSonic PRIME Ultra Gold 750,169.99,ATX,gold,750,Full,Black,2023-09-12
Sparkle ATX-350PN-B204,57.99,ATX,,350,False,,2023-09-12
Antec Basiq,200.0,ATX,plus,550,Semi,,2023-09-12
Super Flower Leadex VI Platinum PRO,179.99,ATX,platinum,850,Full,Black / Blue,2023-09-12
PC Power & Cooling Silencer,295.06,ATX,platinum,1200,Full,,2023-09-12
SeaSonic SS-300ES Bronze,104.44,ATX,bronze,300,False,,2023-09-12
Apevia AD,42.0,ATX,,500,False,Black,2023-09-12
Antec Earthwatts Green,108.11,ATX,plus,500,False,,2023-09-12
MSI MAG A650GL,158.99,ATX,gold,650,Full,Black,2023-09-12
SeaSonic SSP-300TBS,74.87,TFX,bronze,300,False,Silver,2023-09-12
Thermaltake Toughpower GF2 ARGB,300.0,ATX,gold,850,Full,Black,2023-09-12
Athena Power AP-MFATX50P8,136.99,Flex ATX,silver,500,False,,2023-09-12
FSP Group FSP300-60LG-5K,153.74,Flex ATX,bronze,300,False,,2023-09-12
Rosewill CFZ,99.9,ATX,bronze,750,Semi,Black,2023-09-12
Kingwin ABT-1050MM,114.98,ATX,,1050,False,,2023-09-12
Corsair TX750 V2,384.92,ATX,bronze,750,False,,2023-09-12
In Win IP-S300FF1-0,52.25,TFX,plus,300,False,,2023-09-12
SeaSonic SS-400ET Bronze,98.0,ATX,bronze,400,False,,2023-09-12
Antec True Power,252.83,ATX,bronze,850,Full,,2023-09-12
SeaSonic PRIME Gold,399.94,ATX,gold,650,Full,,2023-09-12
Cooler Master eXtreme Power Plus,99.95,ATX,,500,False,,2023-09-12
Rosewill Green,80.0,ATX,plus,430,False,,2023-09-12
SeaSonic Platinum,128.04,ATX,bronze,600,False,,2023-09-12
Antec High Current Gamer,249.99,ATX,bronze,400,False,,2023-09-12
XFX P1-750S-NLB9,165.0,ATX,bronze,750,False,,2023-09-12
SeaSonic SS-600ES,100.9,ATX,bronze,600,False,Gray,2023-09-12
Antec Basiq,88.34,ATX,,350,False,,2023-09-12
Sparkle ATX-300PA,188.09,ATX,,300,False,,2023-09-12
FSP Group FSP500-50FSPT,198.99,Flex ATX,platinum,500,False,,2023-09-12
Corsair TX850 V2,599.94,ATX,bronze,850,False,,2023-09-12
Antec Earthwatts,124.98,ATX,bronze,500,False,,2023-09-12
EVGA SuperNOVA 850 GA,350.0,ATX,gold,850,Full,,2023-09-12
Corsair AX650,250.0,ATX,gold,650,Full,,2023-09-12
Rosewill Green,170.0,ATX,plus,530,False,,2023-09-12
Super Flower Leadex Gold,299.99,ATX,gold,1300,Full,,2023-09-12
EVGA SuperNOVA 750 PQ,210.0,ATX,platinum,750,Semi,Black,2023-09-12
Gigabyte UD1300GM PG5,229.99,ATX,gold,1300,Full,Black,2023-09-12
Enermax Revolution D.F. X,179.99,ATX,gold,1200,Full,Black,2023-09-12
be quiet! Dark Power Pro 10,188.59,ATX,gold,650,Semi,,2023-09-12
Super Flower Leadex III Super Pro,139.99,ATX,bronze,850,Full,Black,2023-09-12
In Win PB,158.54,ATX,gold,750,Full,,2023-09-12
SeaSonic PRIME Ultra Platinum 850,359.99,ATX,platinum,850,Full,Black,2023-09-12
Sparkle FSP350-60GNV,69.99,SFX,,350,False,,2023-09-12
Topower ZU-550W,61.0,ATX,,550,False,,2023-09-12
Cooler Master eXtreme Power Plus,99.95,ATX,,500,False,,2023-09-12
SeaSonic SS-850HT Silver,169.0,ATX,silver,850,False,,2023-09-12
Super Flower Leadex III ARGB Pro,189.99,ATX,gold,650,Full,Black,2023-09-12
Athena Power AP-MFATX40P8,117.85,Flex ATX,bronze,400,False,,2023-09-12
In Win P85,103.83,ATX,gold,850,Full,Black,2023-09-12
Thermaltake German,114.0,ATX,plus,630,False,,2023-09-12
Corsair VX550,197.72,ATX,plus,550,False,,2023-09-12
Thermaltake Toughpower GF2 ARGB,142.99,ATX,gold,750,Full,Black,2023-09-12
Asus ROG Strix Aura Edition,275.79,ATX,gold,750,Full,Black,2023-09-12
CoolMax V-500,29.78,ATX,,500,False,,2023-09-12
Antec Signature Platinum,271.08,ATX,platinum,1300,Full,Black,2023-09-12
Montech TITAN GOLD 850W,169.99,ATX,gold,850,Full,Black,2023-09-12
Silverstone Strider Platinum,129.99,ATX,platinum,650,Full,,2023-09-12
Enermax Revolution D.F. X,139.99,ATX,gold,850,Full,Black,2023-09-12
SeaSonic PRIME PX,329.09,ATX,platinum,850,Full,Black / Silver,2023-09-12
FSP Group Hydro PTM PRO,149.99,ATX,platinum,750,Full,Black,2023-09-12
EVGA SuperNOVA 650 G7,114.99,ATX,gold,650,Full,Black / Blue,2023-09-12
SeaSonic PRIME Ultra Platinum 1000,343.43,ATX,platinum,1000,Full,Black,2023-09-12
EVGA N1,91.79,ATX,,550,False,,2023-09-12
Xilence XP550R9,140.0,ATX,gold,550,False,Black / Red,2023-09-12
Apex AL-8250SFX,77.55,SFX,,250,False,,2023-09-12
Silverstone Strider Platinum,149.99,ATX,platinum,750,Full,,2023-09-12
Corsair GS700,279.94,ATX,bronze,700,False,,2023-09-12
Corsair TX850M,499.94,ATX,bronze,850,Semi,,2023-09-12
Silverstone Strider,114.99,ATX,gold,550,Full,,2023-09-12
Cougar GEX,110.98,ATX,gold,650,Full,Black,2023-09-12
EVGA SuperNOVA 1000 P5,398.99,ATX,platinum,1000,Full,Blue / Black,2023-09-12
EVGA GE,101.73,ATX,gold,500,False,Black,2023-09-12
SeaSonic Prime Fanless PX-450,224.69,ATX,platinum,450,Full,Black,2023-09-12
SHARKOON SilentStorm Cool Zero 850,166.19,ATX,gold,850,Full,Black,2023-09-12
Antec EARTHWATTS GOLD PRO 750,182.38,ATX,gold,750,Semi,Black,2023-09-12
Xilence XP1050MR9,206.29,ATX,gold,1050,Full,Black / Red,2023-09-12
Silverstone Strider Titanium,329.99,ATX,titanium,1100,Full,Black / Blue,2023-09-12
Xilence XP400R6,78.75,ATX,,400,False,Black / Red,2023-09-12
Thermaltake Toughpower GF1 - TT Premium,108.59,ATX,gold,650,Full,Black,2023-09-12
Thermaltake TR2,72.0,ATX,,600,False,,2023-09-12
Thermaltake Smart SE,125.52,ATX,,630,Semi,,2023-09-12
Super Flower Leadex V Pro,154.99,ATX,gold,1000,Full,White,2023-09-12
Logisys PS550E12BK,39.99,ATX,,550,False,,2023-09-12
Thermaltake Toughpower iRGB PLUS 1000 Platinum,410.99,ATX,platinum,1000,Full,Black,2023-09-12
EVGA SuperNOVA 750 P6,184.38,ATX,platinum,750,Full,Black / Silver,2023-09-12
Corsair TX850,499.93,ATX,plus,850,False,,2023-09-12
Silverstone Essential,119.99,ATX,gold,650,False,Black,2023-09-12
Gigabyte UD1000GM PG5 (rev. 2.0),129.99,ATX,gold,1000,Full,Black,2023-09-12
LC-Power LC6560GP3 V2.3 230V,407.0,ATX,silver,560,False,Black,2023-09-12
Silverstone ST85F-GS-V2,132.56,ATX,gold,850,Full,,2023-09-12
SeaSonic PRIME Ultra Gold 850,169.99,ATX,gold,850,Full,Black,2023-09-12
Xilence XP1250MR9,578.0,ATX,gold,1250,Full,Black / Red,2023-09-12
Rosewill Glacier 700M,134.99,ATX,bronze,700,Semi,,2023-09-12
Silverstone Strider Platinum,146.81,ATX,platinum,550,Full,,2023-09-12
Corsair HX750,499.93,ATX,gold,750,Semi,,2023-09-12
Thermaltake Hamburg,123.0,ATX,plus,530,False,Black,2023-09-12
Silverstone Essential,88.98,ATX,gold,550,Semi,Black,2023-09-12
Thermaltake Smart BX1 RGB 650,126.95,ATX,bronze,650,False,Black,2023-09-12
Thermaltake Toughpower iRGB PLUS 750,219.99,ATX,gold,750,Full,Black,2023-09-12
Apex SL-275TFX,45.95,TFX,,275,False,,2023-09-12
PC Power & Cooling PM0600,100.96,ATX,bronze,600,Semi,Black / Red,2023-09-12
Thermaltake Smart SE,145.0,ATX,,530,Semi,Black,2023-09-12
Gigabyte UD850GM PG5 (rev. 2.0),160.98,ATX,gold,850,Full,Black,2023-09-12
FSP Group Hydro PTM PRO,159.99,ATX,platinum,850,Full,Black,2023-09-12
SeaSonic PRIME Ultra Gold 1000,379.94,ATX,gold,1000,Full,Black,2023-09-12
Silverstone NJ700,307.2,ATX,titanium,700,Full,Silver,2023-09-12
FSP Group Hydro GE,99.99,ATX,gold,650,Full,,2023-09-12
Corsair G800,319.86,ATX,plus,800,False,,2023-09-12
SeaSonic PRIME Ultra Platinum 750,173.68,ATX,platinum,750,Full,Black,2023-09-12
be quiet! Straight Power 11 450W,214.0,ATX,gold,450,Full,,2023-09-12
Enermax Revolution D.F. X,169.99,ATX,gold,1050,Full,Black,2023-09-12
"FSP Group Hydro PTM X PRO,Gen5",289.99,ATX,platinum,1200,Full,Black,2023-09-12
Super Flower Leadex Platinum,144.99,ATX,platinum,850,Full,Black,2023-09-12
Corsair TX750 V2,384.92,ATX,bronze,750,False,,2023-09-12
FSP Group Hydro PTM PRO,199.0,ATX,platinum,1000,Full,Black,2023-09-12
Corsair TX550M,216.53,ATX,bronze,550,Semi,,2023-09-12
Sparkle FSP300-60ATV,59.99,ATX,,300,False,,2023-09-12
FSP Group Hyper M85+,125.0,ATX,bronze,650,Semi,Black,2023-09-12
Enermax Platimax,339.99,ATX,platinum,1350,Full,Black,2023-09-12
Thermaltake TOUGHPOWER PF1 ARGB,299.99,ATX,platinum,850,Full,,2023-09-12
be quiet! Pure Power 11 FM 550,98.59,ATX,gold,550,Full,Black,2023-09-12
Super Flower Leadex Platinum,249.99,ATX,platinum,1600,Full,Black,2023-09-12
be quiet! Dark Power Pro 11,139.9,ATX,platinum,550,Semi,,2023-09-12
Corsair TX750M,499.93,ATX,bronze,750,Semi,,2023-09-12
Corsair RM550,299.93,ATX,gold,550,Full,,2023-09-12
SeaSonic SS-300TFX Bronze,62.92,TFX,bronze,300,False,,2023-09-12
Enermax Platimax D.F.,139.99,ATX,platinum,1050,Full,Black,2023-09-12
Antec NE1300G M ATX3.0,239.99,ATX,gold,1300,Full,Black,2023-09-12
Corsair RM850 (2019),217.9,ATX,gold,850,Full,Black,2023-09-12
Corsair CX500M,179.94,ATX,bronze,500,Semi,,2023-09-12
Thermaltake Toughpower Grand RGB,149.99,ATX,gold,850,Full,,2023-09-12
NZXT C1000 (2022),179.99,ATX,gold,1000,Full,Black,2023-09-12
be quiet! System Power 10,129.59,ATX,gold,850,False,Black,2023-09-12
SeaSonic PRIME Ultra Titanium,282.67,ATX,titanium,1000,Full,,2023-09-12
SeaSonic FOCUS Plus Platinum,146.37,ATX,platinum,750,Full,,2023-09-12
SeaSonic VERTEX GX-1200,269.99,ATX,gold,1200,Full,Black / Silver,2023-09-12
Super Flower Leadex V Pro,159.99,ATX,platinum,1000,Full,White,2023-09-12
SeaSonic FOCUS,119.99,ATX,gold,850,Semi,Black,2023-09-12
Thermaltake Toughpower GF A3 - TT Premium Edition,167.2,ATX,gold,1200,Full,Black,2023-09-12
EVGA GE,112.75,ATX,gold,800,False,Black,2023-09-12
Corsair RM750x (2018),182.0,ATX,gold,750,Full,Black,2023-09-12
Corsair HX850 Platinum,379.0,ATX,platinum,850,Full,,2023-09-12
GameMax RGB Rainbow,98.99,ATX,gold,850,Full,Black,2023-09-12
Cooler Master V SFX Platinum,279.99,SFX,platinum,1100,Full,Black,2023-09-12
Logisys PS480D2,16.98,ATX,,480,False,,2023-09-12
SeaSonic FOCUS GX,136.78,ATX,gold,650,Full,Black,2023-09-12
be quiet! Straight Power 11 750W,135.99,ATX,gold,750,Full,,2023-09-12
Enermax REVOLUTION D.F. 2,89.99,ATX,gold,850,Full,Black,2023-09-12
Corsair RM850x (2018),194.0,ATX,gold,850,Full,Black,2023-09-12
EVGA 500 BR,73.84,ATX,bronze,500,False,,2023-09-12
be quiet! Pure Power 11,90.59,ATX,gold,400,False,Black,2023-09-12
Phanteks Revolt SFX,89.99,SFX,gold,650,Full,Black,2023-09-12
Athena Power AP-MTFX30,36.99,TFX,,300,False,,2023-09-12
Corsair HX1500i (2023),399.99,ATX,platinum,1500,Full,Black,2023-09-12
Asus ROG THOR P2 Gaming,295.27,ATX,platinum,1000,Full,Silver / Black,2023-09-12
Cooler Master V850 SFX GOLD,169.99,SFX,gold,850,Full,White,2023-09-12
Cooler Master MasterWatt 550,84.99,ATX,bronze,550,Semi,,2023-09-12
Thermaltake Toughpower GF3 TT Premium,219.99,ATX,gold,1650,Full,Black,2023-09-12
SeaSonic PRIME TX,529.99,ATX,titanium,1600,Full,Black / Silver,2023-09-12
MSI MEG Ai1000P PCIE5,279.99,ATX,platinum,1000,Full,Black / Copper,2023-09-12
EVGA SuperNOVA 1300 GT,199.99,ATX,gold,1300,Full,Black,2023-09-12
Asus TUF Gaming 850G,139.99,ATX,gold,850,Full,Black,2023-09-12
be quiet! Dark Power Pro 13,419.9,ATX,titanium,1300,Full,Black,2023-09-12
Gigabyte P550B,69.99,ATX,bronze,550,False,Black,2023-09-12
NZXT C650 (2022),129.99,ATX,gold,650,Full,Black,2023-09-12
be quiet! Dark Power Pro 13,459.9,ATX,titanium,1600,Full,Black,2023-09-12
Super Flower Leadex III Gold,99.99,ATX,gold,750,Full,Black,2023-09-12
be quiet! Straight Power 11,174.9,ATX,platinum,850,Full,Black,2023-09-12
be quiet! System Power 10,98.15,ATX,bronze,450,False,Black,2023-09-12
SeaSonic FOCUS PX,189.98,ATX,platinum,850,Full,Black,2023-09-12
Corsair HX1000 Platinum,369.0,ATX,platinum,1000,Full,,2023-09-12
Corsair RM750x White (2018),248.0,ATX,gold,750,Full,White / Black,2023-09-12
EVGA 850 BQ,104.99,ATX,bronze,850,Semi,,2023-09-12
EVGA 750 BP,74.99,ATX,bronze,750,False,Black,2023-09-12
SeaSonic G12 GM,108.14,ATX,gold,650,Semi,Black / Blue,2023-09-12
EVGA 650 N1,58.84,ATX,,650,False,,2023-09-12
be quiet! Straight Power 12,189.9,ATX,platinum,750,Full,Black,2023-09-12
PowerSpec PS 650BF,74.98,ATX,bronze,650,False,Black,2023-09-12
be quiet! System Power 9 500 CM,86.89,ATX,bronze,500,Semi,Black,2023-09-12
Phanteks Revolt SFX,99.99,SFX,gold,750,Full,Black,2023-09-12
Apevia Signature,70.98,ATX,bronze,1050,Semi,Black,2023-09-12
EVGA 750 GQ,185.0,ATX,gold,750,Semi,,2023-09-12
ADATA XPG CORE Reactor 750,99.99,ATX,gold,750,Full,Black,2023-09-12
Silverstone SFX,110.57,SFX,gold,500,Full,,2023-09-12
SeaSonic S12III,81.31,ATX,bronze,650,False,Black,2023-09-12
EVGA 500 BQ,109.99,ATX,bronze,500,Semi,,2023-09-12
SeaSonic PRIME TX,439.99,ATX,titanium,1300,Full,Black / Silver,2023-09-12
SeaSonic FOCUS GX,197.07,ATX,gold,1000,Full,Black,2023-09-12
be quiet! Dark Power 13,249.9,ATX,titanium,850,Full,Black,2023-09-12
Thermaltake Toughpower GF A3 - TT Premium Edition,140.88,ATX,gold,1050,Full,Black,2023-09-12
Deepcool PM750D,106.91,ATX,gold,750,False,Black,2023-09-12
Deepcool PM850D,104.99,ATX,gold,850,False,Black,2023-09-12
SeaSonic VERTEX GX-1000,229.99,ATX,gold,1000,Full,Black / Silver,2023-09-12
ADATA XPG CORE Reactor 650,89.99,ATX,gold,650,Full,Black,2023-09-12
MSI MPG A750GF WHITE,202.99,ATX,gold,750,Full,White,2023-09-12
be quiet! System Power 10,97.79,ATX,bronze,750,False,Black,2023-09-12
EVGA SuperNOVA 850 G5,152.8,ATX,gold,850,Full,Black / Green,2023-09-12
Asus ROG Strix,171.77,ATX,gold,750,Full,Black / Red,2023-09-12
EVGA 750 BQ,116.61,ATX,bronze,750,Semi,,2023-09-12
Super Flower Leadex III Gold,64.99,ATX,gold,550,Full,Black,2023-09-12
Asus TUF Gaming 750G,119.99,ATX,gold,750,Full,Black,2023-09-12
Corsair AX1200i,657.73,ATX,platinum,1200,Full,,2023-09-12
Thermaltake Toughpower GF A3 - TT Premium Edition,98.23,ATX,gold,750,Full,Black,2023-09-12
Asus ROG LOKI,189.99,SFX,platinum,850,Full,Black / Silver,2023-09-12
be quiet! System Power 10,78.89,ATX,bronze,550,False,Black,2023-09-12
EVGA 750 N1,69.42,ATX,,750,False,,2023-09-12
Lian Li SP850,124.99,SFX,gold,850,Full,Black,2023-09-12
Silverstone SFX,198.98,SFX,titanium,800,Full,,2023-09-12
Cooler Master V650 V2,134.99,ATX,gold,650,Full,White,2023-09-12
CoolMax I-500,26.68,ATX,,500,False,,2023-09-12
Super Flower Leadex Titanium,699.99,ATX,titanium,1600,Full,Black,2023-09-12
Asus ROG STRIX G,166.45,ATX,gold,1000,Full,Black,2023-09-12
NZXT C850 (2022),119.99,ATX,gold,850,Full,Black,2023-09-12
EVGA SuperNOVA 650 GM,114.99,SFX,gold,650,Full,Black,2023-09-12
SeaSonic FOCUS PLUS 850 Gold,144.99,ATX,gold,850,Full,,2023-09-12
NZXT C750 (2022),129.99,ATX,gold,750,Full,Black,2023-09-12
Thermaltake Toughpower GF3 TT Premium,89.99,ATX,gold,750,Full,Black,2023-09-12
Corsair HX1500i (2022),299.99,ATX,platinum,1500,Full,Black,2023-09-12
MSI MAG A650BN,59.99,ATX,bronze,650,False,Black,2023-09-12
Gigabyte P650G (US),64.99,ATX,gold,650,False,Black,2023-09-12
Cooler Master V750 SFX GOLD,139.99,SFX,gold,750,Full,Black,2023-09-12
SeaSonic PRIME TX-1000,309.99,ATX,titanium,1000,Full,Black,2023-09-12
Asus ROG Strix,154.99,ATX,gold,850,Full,White,2023-09-12
EVGA 700 GD,84.99,ATX,gold,700,False,Black,2023-09-12
Lian Li SP,114.99,SFX,gold,750,Full,Black,2023-09-12
Corsair HX850,134.99,ATX,platinum,850,Full,Black,2023-09-12
Corsair HX1000i (2023),239.99,ATX,platinum,1000,Full,Black,2023-09-12
Apevia Prestige,66.98,ATX,gold,800,False,Black,2023-09-12
EVGA 550 B5,98.6,ATX,bronze,550,Full,Black,2023-09-12
Thermaltake Toughpower,87.31,ATX,gold,750,Semi,,2023-09-12
Gigabyte UD1000GM,129.99,ATX,gold,1000,Full,Black,2023-09-12
EVGA SuperNOVA 650 GT,99.99,ATX,gold,650,Full,Black,2023-09-12
EVGA SuperNOVA 1000 GT,149.99,ATX,gold,1000,Full,Black,2023-09-12
Corsair SF1000L,199.99,SFX,gold,1000,Full,Black,2023-09-12
Thermaltake Toughpower Grand RGB,74.99,ATX,gold,650,Full,,2023-09-12
Cooler Master MWE GOLD 750 V2 FULL MODULAR,171.0,ATX,gold,750,Full,Black,2023-09-12
EVGA SuperNOVA 850 GT,124.99,ATX,gold,850,Full,Black,2023-09-12
MSI MAG A550BN,53.98,ATX,bronze,550,False,Black,2023-09-12
Rosewill HIVE,75.99,ATX,bronze,750,Semi,,2023-09-12
EVGA 500 W1,52.86,ATX,plus,500,False,,2023-09-12
MSI MPG A750GF,109.99,ATX,gold,750,Full,Black,2023-09-12
EVGA 700 BR,74.98,ATX,bronze,700,False,,2023-09-12
Asus ROG THOR 1600T Gaming,634.91,ATX,titanium,1600,Full,Silver / Black,2023-09-12
MSI MEG Ai1300P PCIE5,309.99,ATX,platinum,1300,Full,Black / Copper,2023-09-12
EVGA SuperNOVA 750 GT,109.99,ATX,gold,750,Full,Black,2023-09-12
SeaSonic FOCUS Plus 650 Gold,131.99,ATX,gold,650,Full,,2023-09-12
Lian Li SP850,124.99,SFX,gold,850,Full,White,2023-09-12
Gigabyte UD850GM,99.99,ATX,gold,850,Full,Black,2023-09-12
Corsair RM1000x,247.6,ATX,gold,1000,Full,,2023-09-12
Apevia CAPTAIN,31.99,ATX,,550,False,Black,2023-09-12
be quiet! Dark Power 13,269.9,ATX,titanium,1000,Full,Black,2023-09-12
SeaSonic S12III,69.44,ATX,bronze,500,False,Black,2023-09-12
EVGA SuperNOVA 1600 T2,595.32,ATX,titanium,1600,Full,,2023-09-12
