name,price,type,efficiency,wattage,modular,color,snapshot_date
SeaSonic PRIME TX-750,360.12,ATX,titanium,750,Full,Black,2023-08-06
Corsair RM850 (2019),218.98,ATX,gold,850,Full,Black,2023-08-06
Thermaltake Smart Pro RGB,114.19,ATX,bronze,750,Full,,2023-08-06
be quiet! Pure Power 12 M,199.9,ATX,gold,1200,Full,Black,2023-08-06
SHARKOON SilentStorm Cool Zero 650,114.51,ATX,gold,650,Full,Black,2023-08-06
EVGA SuperNOVA 750 P2,199.99,ATX,platinum,750,Full,,2023-08-06
PowerSpec PS 750BSM,84.99,ATX,bronze,750,Semi,Black,2023-08-06
Asus ROG THOR P2 Gaming EVA Edition,484.99,ATX,platinum,1000,Full,Black / Silver,2023-08-06
Silverstone SFX,97.13,SFX,bronze,450,False,Black,2023-08-06
Corsair HX850i,555.79,ATX,platinum,850,Full,,2023-08-06
SeaSonic G12 GM,169.42,ATX,gold,850,Semi,Black / Blue,2023-08-06
SeaSonic PRIME 1300 Gold,288.45,ATX,gold,1300,Full,Black,2023-08-06
EVGA SuperNOVA 1300 P+,329.08,ATX,platinum,1300,Full,Black,2023-08-06
Deepcool DQ-M-V2L,191.07,ATX,gold,850,Full,Black / Green,2023-08-06
GameMax RGB,268.99,ATX,platinum,1300,Full,Black,2023-08-06
Thermaltake Toughpower Grand RGB,178.28,ATX,gold,850,Full,,2023-08-06
be quiet! System Power 9,114.11,ATX,bronze,600,False,Black,2023-08-06
Thermaltake Toughpower TF1 - TT Premium,399.95,ATX,titanium,1550,Full,Black,2023-08-06
Asus ROG Strix Aura Edition,412.0,ATX,gold,1000,Full,Black,2023-08-06
be quiet! Straight Power 12,209.9,ATX,platinum,850,Full,Black,2023-08-06
SeaSonic PRIME PX,301.58,ATX,platinum,1000,Full,Black / Silver,2023-08-06
Silverstone Strider Platinum S,238.99,ATX,platinum,1200,Full,Black,2023-08-06
Silverstone FX350-G,100.99,Flex ATX,gold,350,False,Black,2023-08-06
EVGA SuperNOVA 850 P5,199.85,ATX,platinum,850,Full,Black / Teal,2023-08-06
SeaSonic PRIME TX-850,417.0,ATX,titanium,850,Full,Black,2023-08-06
Athena Power Apollo,46.99,SFX,,300,False,,2023-08-06
SeaSonic FOCUS SPX (2021),194.99,SFX,platinum,750,Full,Black,2023-08-06
Corsair RM850x White,339.99,ATX,gold,850,Full,White / Black,2023-08-06
Silverstone SX700-PT,132.22,SFX,platinum,700,Full,Black,2023-08-06
be quiet! System Power 9 CM,165.0,ATX,bronze,400,Semi,Black,2023-08-06
Antec Signature,314.79,ATX,titanium,1000,Full,Black / Silver,2023-08-06
Silverstone FX600 Platinum,169.84,Flex ATX,,600,False,Black,2023-08-06
NZXT E850,159.99,ATX,gold,850,Full,Black,2023-08-06
ADATA XPG CYBERCORE,199.99,ATX,platinum,1300,Full,Black / Silver,2023-08-06
PowerSpec GFM,109.99,ATX,gold,750,Full,Black,2023-08-06
EVGA SuperNOVA 1300 G+,327.54,ATX,gold,1300,Full,Black,2023-08-06
Super Flower Leadex Titanium,319.99,ATX,titanium,1000,Full,Black,2023-08-06
EVGA SuperNOVA 1600 G2,699.99,ATX,gold,1600,Full,,2023-08-06
Silverstone Strider Platinum,150.0,ATX,platinum,850,Full,,2023-08-06
Deepcool PX-G,199.99,ATX,gold,1000,Full,Black,2023-08-06
Corsair RM650x,214.79,ATX,gold,650,Full,,2023-08-06
FSP Group Dagger Pro,135.99,SFX,gold,650,Full,Black,2023-08-06
Antec NeoECO Gold,199.0,ATX,gold,750,Full,,2023-08-06
SeaSonic FOCUS,137.98,ATX,gold,750,Semi,Black,2023-08-06
Cooler Master G500,95.37,ATX,gold,500,False,Black,2023-08-06
EVGA 600 B1,191.99,ATX,bronze,600,False,,2023-08-06
Super Flower Leadex Platinum,199.99,ATX,platinum,850,Full,Black,2023-08-06
Thermaltake TR2 S,102.13,ATX,plus,600,False,Black,2023-08-06
SeaSonic PRIME,189.99,ATX,gold,850,Full,Black,2023-08-06
Super Flower Leadex III ARGB,208.68,ATX,gold,850,Full,White,2023-08-06
SeaSonic FOCUS,146.98,ATX,platinum,650,Full,Black,2023-08-06
NZXT C750,109.98,ATX,bronze,750,Semi,Black,2023-08-06
Asus TUF Gaming B,149.99,ATX,bronze,550,False,Black,2023-08-06
EVGA 1000 GQ,325.98,ATX,gold,1000,Semi,,2023-08-06
be quiet! Pure Power 11 CM,114.89,ATX,gold,700,Semi,Black,2023-08-06
Silverstone SST-TX300,74.98,TFX,bronze,300,False,Black,2023-08-06
Vetroo GV1000,159.99,ATX,gold,1000,Full,White,2023-08-06
"FSP Group Hydro PTM PRO,Gen5",259.99,ATX,platinum,1200,Full,Black,2023-08-06
Cougar VTE,69.98,ATX,bronze,600,False,Black,2023-08-06
FSP Group Dagger Pro,179.99,SFX,gold,850,Full,Black / Gold,2023-08-06
Razer Katana Chroma,389.99,ATX,platinum,1200,Full,Black,2023-08-06
SeaSonic PRIME,310.88,ATX,gold,1000,Full,Black,2023-08-06
Cooler Master V850 Gold i,134.99,ATX,gold,850,Full,Black / Gold,2023-08-06
EVGA SuperNOVA 550 GA,149.94,ATX,gold,550,Full,Black,2023-08-06
EVGA 750 B5,144.99,ATX,bronze,750,Full,Black,2023-08-06
SeaSonic CORE GM,122.9,ATX,gold,650,Semi,Black,2023-08-06
EVGA SuperNOVA 1000 G3,399.99,ATX,gold,1000,Full,,2023-08-06
EVGA SuperNOVA 650 G+,177.89,ATX,gold,650,Full,Black,2023-08-06
EVGA 850 B5,157.62,ATX,bronze,850,Full,Black,2023-08-06
Gigabyte UD1000GM PG5,185.22,ATX,gold,1000,Full,Black,2023-08-06
EVGA SuperNOVA 1200 P3,497.9,ATX,platinum,1200,Full,Black / Silver,2023-08-06
Silverstone SX-G,135.35,SFX,gold,700,Full,Black,2023-08-06
EVGA SuperNOVA 750 P6,184.38,ATX,platinum,750,Full,Black / Silver,2023-08-06
EVGA 500 BT,118.4,ATX,bronze,500,False,Black,2023-08-06
