name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,snapshot_date,microarchitecture
Intel Xeon E3-1240 V5,265.0,4,3.5,3.9,80,,True,2023-08-06,
Intel Core i9-9900X,1229.95,10,3.5,4.4,165,,True,2023-08-06,
Intel Xeon E3-1220 V6,360.0,4,3.0,3.5,72,,False,2023-08-06,
Intel Xeon E5-2683 V4,1969.95,16,2.1,3.0,120,,True,2023-08-06,
Intel Core i3-550,79.98,2,3.2,,73,Intel HD Graphics,True,2023-08-06,
Intel Core 2 Quad Q6600,104.97,4,2.4,,100,,False,2023-08-06,
Intel Xeon E5-2695 V2,189.0,12,2.4,3.2,115,,True,2023-08-06,
Intel Core i7-8700T,335.0,6,2.4,4.0,35,Intel UHD Graphics 630,True,2023-08-06,
AMD Athlon 240GE,104.39,2,3.5,,35,Radeon Vega 3,True,2023-08-06,
Intel Core i3-10305,109.99,4,3.8,4.5,65,Intel UHD Graphics 630,True,2023-08-06,
Intel Core i3-4370,60.0,2,3.8,,54,Intel HD Graphics 4600,True,2023-08-06,
Intel Celeron G3920,495.09,2,2.6,,35,Intel HD Graphics 510,False,2023-08-06,
Intel Xeon E5-1650 V3,138.51,6,3.5,3.8,140,,True,2023-08-06,
Intel Core i5-3550,335.0,4,3.3,,77,Intel HD Graphics 2500,False,2023-08-06,
Intel Core i7-4770K,241.42,4,3.5,3.9,84,Intel HD Graphics 4600,True,2023-08-06,
Intel Core i5-2320,249.95,4,3.0,,95,Intel HD Graphics 2000,False,2023-08-06,
Intel Celeron G3930,55.0,2,2.9,,51,Intel HD Graphics 610,False,2023-08-06,
Intel Core i5-7500T,199.95,4,2.7,3.3,35,Intel HD Graphics 630,False,2023-08-06,
Intel Xeon E5-2640 V3,112.5,8,2.6,3.4,90,,True,2023-08-06,
Intel Xeon E3-1230 V2,271.85,4,3.3,,69,,True,2023-08-06,
Intel Core i7-950,109.0,4,3.06,,130,,True,2023-08-06,
Intel Pentium G3420,53.0,2,3.2,,54,Intel HD Graphics,False,2023-08-06,
Intel Core i7-3770S,206.0,4,3.1,,65,Intel HD Graphics 4000,True,2023-08-06,
Intel Core i5-650,100.0,2,3.2,,73,Intel HD Graphics,True,2023-08-06,
Intel Core i7-4770S,230.61,4,3.1,,65,Intel HD Graphics 4600,True,2023-08-06,
Intel Xeon E5-2620 V3,54.58,6,2.4,3.2,85,,True,2023-08-06,
Intel Core i5-750,81.0,4,2.66,,95,,False,2023-08-06,
Intel Xeon E5-2640 V4,998.95,10,2.4,3.4,90,,True,2023-08-06,
Intel Pentium Gold G6600,66.0,2,4.2,,58,Intel UHD Graphics 630,True,2023-08-06,
Intel Core i5-4690K,160.65,4,3.5,3.9,88,Intel HD Graphics 4600,False,2023-08-06,
AMD A10-7850K,139.84,4,3.7,4.0,95,Radeon R7 (on-die),False,2023-08-06,
Intel Core i5-2380P,70.0,4,3.1,,95,,False,2023-08-06,
Intel Core i5-7400,175.0,4,3.0,3.5,65,Intel HD Graphics 630,False,2023-08-06,
AMD FX-6300,86.51,6,3.5,,95,,False,2023-08-06,
Intel Core i7-5775C,240.0,4,3.3,3.7,65,Iris Pro Graphics 6200,True,2023-08-06,
