product_name,snapshot_date,price,product_url,archive_url
"SAMSUNG 990 EVO PLUS SSD 4TB, PCIe Gen 4x4 | Gen 5x2 M.2 2280, Speeds Up-to 7,250 MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite 2.0 (MZ-V9S4T0B/AM)",2025-09-21,19.99,https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901,https://web.archive.org/web/20250921091338id_/https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901
"SAMSUNG 990 EVO PLUS SSD 4TB, PCIe Gen 4x4 | Gen 5x2 M.2 2280, Speeds Up-to 7,250 MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite 2.0 (MZ-V9S4T0B/AM)",2025-10-25,207.99,https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901,https://web.archive.org/web/20251025172309id_/https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901
"SAMSUNG 990 EVO PLUS SSD 4TB, PCIe Gen 4x4 | Gen 5x2 M.2 2280, Speeds Up-to 7,250 MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite 2.0 (MZ-V9S4T0B/AM)",2025-10-30,221.99,https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901,https://web.archive.org/web/20251030095024id_/https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901
"SAMSUNG 990 EVO PLUS SSD 4TB, PCIe Gen 4x4 | Gen 5x2 M.2 2280, Speeds Up-to 7,250 MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite 2.0 (MZ-V9S4T0B/AM)",2025-12-05,264.99,https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901,https://web.archive.org/web/20251205183746id_/https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901
"SAMSUNG 990 EVO PLUS SSD 4TB, PCIe Gen 4x4 | Gen 5x2 M.2 2280, Speeds Up-to 7,250 MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite 2.0 (MZ-V9S4T0B/AM)",2025-12-22,291.99,https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901,https://web.archive.org/web/20251222101809id_/https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901
"SAMSUNG 990 EVO PLUS SSD 4TB, PCIe Gen 4x4 | Gen 5x2 M.2 2280, Speeds Up-to 7,250 MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite 2.0 (MZ-V9S4T0B/AM)",2025-12-30,305.99,https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901,https://web.archive.org/web/20251230160656id_/https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901
"SAMSUNG 990 EVO PLUS SSD 4TB, PCIe Gen 4x4 | Gen 5x2 M.2 2280, Speeds Up-to 7,250 MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite 2.0 (MZ-V9S4T0B/AM)",2026-01-22,336.99,https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901,https://web.archive.org/web/20260122100800id_/https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901
"SAMSUNG 990 EVO PLUS SSD 4TB, PCIe Gen 4x4 | Gen 5x2 M.2 2280, Speeds Up-to 7,250 MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite 2.0 (MZ-V9S4T0B/AM)",2026-01-24,336.99,https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901,https://web.archive.org/web/20260124231516id_/https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901
"SAMSUNG 990 EVO PLUS SSD 4TB, PCIe Gen 4x4 | Gen 5x2 M.2 2280, Speeds Up-to 7,250 MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite 2.0 (MZ-V9S4T0B/AM)",2026-02-07,385.99,https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901,https://web.archive.org/web/20260207044211id_/https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901
"SAMSUNG 990 EVO PLUS SSD 4TB, PCIe Gen 4x4 | Gen 5x2 M.2 2280, Speeds Up-to 7,250 MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite 2.0 (MZ-V9S4T0B/AM)",2026-02-08,385.99,https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901,https://web.archive.org/web/20260208053013id_/https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901
"SAMSUNG 990 EVO PLUS SSD 4TB, PCIe Gen 4x4 | Gen 5x2 M.2 2280, Speeds Up-to 7,250 MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite 2.0 (MZ-V9S4T0B/AM)",2026-02-17,378.99,https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901,https://web.archive.org/web/20260217203535id_/https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901
"SAMSUNG 990 EVO PLUS SSD 4TB, PCIe Gen 4x4 | Gen 5x2 M.2 2280, Speeds Up-to 7,250 MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite 2.0 (MZ-V9S4T0B/AM)",2026-02-20,378.99,https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901,https://web.archive.org/web/20260220143532id_/https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901
"SAMSUNG 990 EVO PLUS SSD 4TB, PCIe Gen 4x4 | Gen 5x2 M.2 2280, Speeds Up-to 7,250 MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite 2.0 (MZ-V9S4T0B/AM)",2026-02-26,378.99,https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901,https://web.archive.org/web/20260226034557id_/https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901
